year,player_id,player_name,team,short_team_name,base_price_in_cr,base_price,sold_price_in_cr,sold_price,Type,purse_spent_in_cr,purse_left_in_cr
2016,477071,Baba Aparajith,Rising Pune Supergiants,,0.1,1000000,0.1,1000000,,,
2016,447261,Deepak Chahar,Rising Pune Supergiants,,0.1,1000000,0.1,1000000,,,
2016,919241,Kishore Kamath,Mumbai Indians,,0.1,1000000,1.4,14000000,,,
2016,34155,Pardeep Sahu,Punjab Kings,,0.1,1000000,0.1,1000000,,,
2016,471342,Krunal Pandya,Mumbai Indians,,0.1,1000000,2,20000000,,,
2016,807791,Deepak Punia,Mumbai Indians,,0.1,1000000,0.1,1000000,,,
2016,232292,Swapnil Singh,Punjab Kings,,0.1,1000000,0.1,1000000,,,
2016,942645,Khaleel Ahmed,Delhi Capitals,,0.1,1000000,0.1,1000000,,,
2016,34997,Jaydev Shah,Gujarat Lions,,0.2,2000000,0.2,2000000,,,
2016,717205,Pratyush Singh,Delhi Capitals,,0.1,1000000,0.1,1000000,,,
2016,227712,Ashok Dinda,Rising Pune Supergiants,,0.5,5000000,0.5,5000000,,,
2016,272262,Kane Richardson,Royal Challengers Bangalore,,2,20000000,2,20000000,,,
2016,51433,Samuel Badree,Royal Challengers Bangalore,,0.5,5000000,0.5,5000000,,,
2016,501012,Joel Paris,Delhi Capitals,,0.3,3000000,0.3,3000000,,,
2016,446548,Scott Boland,Rising Pune Supergiants,,0.5,5000000,0.5,5000000,,,
2016,31738,Vikramjeet Malik,Royal Challengers Bangalore,,0.2,2000000,0.2,2000000,,,
2016,431213,Pawan Suyal,Delhi Capitals,,0.1,1000000,0.1,1000000,,,
2016,379504,Adam Zampa,Rising Pune Supergiants,,0.3,3000000,0.3,3000000,,,
2016,604550,Amit Mishra,Gujarat Lions,,0.1,1000000,0.1,1000000,,,
2016,376102,Jaskaran Singh,Rising Pune Supergiants,,0.1,1000000,0.1,1000000,,,
2016,604616,Chama Milind,Delhi Capitals,,0.1,1000000,0.1,1000000,,,
2016,474519,Vikas Tokas,Royal Challengers Bangalore,,0.1,1000000,0.1,1000000,,,
2016,44410,Farhaan Behardien,Punjab Kings,,0.3,3000000,0.3,3000000,,,
2016,532851,Akhil Herwadkar,Delhi Capitals,,0.1,1000000,0.1,1000000,,,
2016,853265,Mahipal Lomror,Delhi Capitals,,0.1,1000000,0.1,1000000,,,
