year,section,player_name,player_id,team,sold_usd,base_usd,detail_raw,needs_review
2012,Unsold,Ajantha Mendis,,,,"50,000","- base price $50,000",FALSE
2012,Unsold,Steve O'Keefe,,,,"100,000","- base price $100,000",FALSE
2012,Unsold,Xavier Doherty,,,,"100,000","- base price $100,000",FALSE
2012,Unsold,Michael Klinger,,,,"50,000","- base price $50,000",FALSE
2012,Unsold,Richard Levi,,,,"50,000","base price $50,000",FALSE
2012,Unsold,Alviro Petersen,,,,"100,000","base price $100,000",FALSE
2012,Unsold,Lendl Simmons,,,,"50,000","base price $50,000",FALSE
2012,Unsold,Farveez Maharoof,,,,"50,000","- base price $50,000",FALSE
2012,Unsold,Jacob Oram,,,,"100,000","- base price $100,000",FALSE
2012,Unsold,Moises Henriques,,,,"50,000","- base price $50,000",FALSE
2012,Unsold,Ben Laughlin,,,,"50,000","- base price $50,000",FALSE
2012,Unsold,Ryan McLaren,,,,"100,000","- base price $100,000",FALSE
2012,Unsold,Nicky Boje,,,,"200,000","- base price $200,000",FALSE
2012,Unsold,Jacques Rudolph,,,,"20,000","- base price $20,000",FALSE
2012,Unsold,Andy McKay,,,,"50,000","- base price $50,000",FALSE
2012,Unsold,Alister McDermott,,,,"20,000","- base price $20,000",FALSE
2012,Unsold,Michael Neser,,,,"50,000","- base price $50,000 For the full list of players who had registered for the auction, click here .",FALSE
2012,Unsold,India,,,,,,TRUE
2012,Unsold,Indian Premier League,,,,,,TRUE
2012,Unsold,Sponsored,,,,,,TRUE
2012,Unsold,Sponsored,,,,,,TRUE
2012,Unsold,Promoted Links,,,,,,TRUE
2012,Unsold,Promoted Links,,,,,,TRUE
2012,Unsold,You May Like,,,,,Top 15 Most Beautiful Women in the World,TRUE
2012,Unsold,Topgentlemen.com,,,,,,TRUE
2012,Unsold,Undo,,,,,Ireland: Calculator Shows The Value Of Your Home Instantly!,TRUE
2012,Unsold,Home Value,,,,,,TRUE
2012,Unsold,Learn More,,,,,,TRUE
2012,Unsold,Undo,,,,,Cats That Headbutt Their Owners Are Actually Trying To Give Them An Important Message,TRUE
2012,Unsold,Novelodge,,,,,,TRUE
2012,Unsold,Undo,,,,,,TRUE
