year,team,purse_spent,purse_left,player_id,player_name,player_fullname,birthdate,type,cost_inr_lakh,cost_usd,status,transferred,overseas,sold_price_in_cr,sold_price
2017,Kolkata Knight Riders,60.6 cr,5.4 cr,32498,Yusuf Pathan,Yusuf Pathan,,BAT,325,485000,Retained,FALSE,FALSE,3.25,32500000
2017,Kolkata Knight Riders,60.6 cr,5.4 cr,326637,Chris Lynn,Chris Lynn,,BAT,130,194000,Retained,FALSE,TRUE,1.3,13000000
2017,Kolkata Knight Riders,60.6 cr,5.4 cr,32966,Piyush Chawla,Piyush Chawla,,BOW,425,634000,Retained,FALSE,FALSE,4.25,42500000
2017,Kolkata Knight Riders,60.6 cr,5.4 cr,35582,Robin Uthappa,Robin Uthappa,,WK,500,746000,Retained,FALSE,FALSE,5,50000000
2017,Kolkata Knight Riders,60.6 cr,5.4 cr,376116,Umesh Yadav,Umesh Yadav,,BOW,260,388000,Retained,FALSE,FALSE,2.6,26000000
2017,Kolkata Knight Riders,60.6 cr,5.4 cr,446507,Suryakumar Yadav,Suryakumar Yadav,,BAT,70,104000,Retained,FALSE,FALSE,0.7,7000000
2017,Kolkata Knight Riders,60.6 cr,5.4 cr,559235,Kuldeep Yadav,Kuldeep Yadav,,BOW,40,59000,Retained,FALSE,FALSE,0.4,4000000
2017,Kolkata Knight Riders,60.6 cr,5.4 cr,56143,Shakib Al Hasan,Shakib Al Hasan,,AR,280,417000,Retained,FALSE,TRUE,2.8,28000000
2017,Kolkata Knight Riders,60.6 cr,5.4 cr,591650,Ankit Rajpoot,Ankit Rajpoot,,BOW,150,223000,Retained,FALSE,FALSE,1.5,15000000
2017,Kings XI Punjab,52.1 cr,13.9 cr,226492,Martin Guptill,Martin Guptill,,BAT,50,74000,New,FALSE,TRUE,0.5,5000000
2017,Kings XI Punjab,52.1 cr,13.9 cr,24598,Eoin Morgan,Eoin Morgan,,BAT,200,298000,New,FALSE,TRUE,2,20000000
2017,Kings XI Punjab,52.1 cr,13.9 cr,360911,Varun Aaron,Varun Aaron,,BOW,280,417000,New,FALSE,FALSE,2.8,28000000
2017,Kings XI Punjab,52.1 cr,13.9 cr,423838,Rahul Tewatia,Rahul Tewatia,,AR,25,37000,New,FALSE,FALSE,0.25,2500000
2017,Kings XI Punjab,52.1 cr,13.9 cr,506612,Matt Henry,Matt Henry,,BOW,50,74000,New,FALSE,TRUE,0.5,5000000
2017,Kings XI Punjab,52.1 cr,13.9 cr,53115,Darren Sammy,Darren Sammy,,AR,30,44000,New,FALSE,TRUE,0.3,3000000
2017,Kings XI Punjab,52.1 cr,13.9 cr,723105,Rinku Singh,Rinku Singh,,BAT,10,14000,New,FALSE,FALSE,0.1,1000000
2017,Kings XI Punjab,52.1 cr,13.9 cr,802575,T Natarajan,T Natarajan,,BOW,300,447000,New,FALSE,FALSE,3,30000000
2017,Kings XI Punjab,52.1 cr,13.9 cr,232292,Swapnil Singh,Swapnil Singh,,AR,10,14000,Retained,FALSE,FALSE,0.1,1000000
2017,Kings XI Punjab,52.1 cr,13.9 cr,237095,M Vijay,M Vijay,,BAT,300,447000,Retained,FALSE,FALSE,3,30000000
2017,Kings XI Punjab,52.1 cr,13.9 cr,279810,Wriddhiman Saha,Wriddhiman Saha,,WK,220,328000,Retained,FALSE,FALSE,2.2,22000000
2017,Kings XI Punjab,52.1 cr,13.9 cr,321777,David Miller,David Miller,,BAT,1250,1865000,Retained,FALSE,TRUE,12.5,125000000
2017,Kings XI Punjab,52.1 cr,13.9 cr,325012,Marcus Stoinis,Marcus Stoinis,,AR,55,82000,Retained,FALSE,TRUE,0.55,5500000
2017,Kings XI Punjab,52.1 cr,13.9 cr,325026,Glenn Maxwell,Glenn Maxwell,,AR,600,895000,Retained,FALSE,TRUE,6,60000000
2017,Kings XI Punjab,52.1 cr,13.9 cr,34155,Pardeep Sahu,Pardeep Sahu,,BOW,10,14000,Retained,FALSE,FALSE,0.1,1000000
2017,Kings XI Punjab,52.1 cr,13.9 cr,376324,Anureet Singh,Anureet Singh,,BOW,20,29000,Retained,FALSE,FALSE,0.2,2000000
2017,Kings XI Punjab,52.1 cr,13.9 cr,438362,Sandeep Sharma,Sandeep Sharma,,BOW,85,126000,Retained,FALSE,FALSE,0.85,8500000
2017,Kings XI Punjab,52.1 cr,13.9 cr,43906,Hashim Amla,Hashim Amla,,BAT,100,149000,Retained,FALSE,TRUE,1,10000000
2017,Kings XI Punjab,52.1 cr,13.9 cr,475281,Shardul Thakur,Shardul Thakur,,BOW,20,29000,Retained,FALSE,FALSE,0.2,2000000
