year,team,purse_spent,purse_left,player_id,player_name,player_fullname,birthdate,type,cost_inr_lakh,cost_usd,,,status,transferred,overseas,sold_price_in_cr,sold_price
2021,Kolkata Knight Riders,81.80 cr,3.20 cr,24598,Eoin Morgan,Eoin Morgan,,BAT,525,719000,,719000000,Retained,FALSE,TRUE,5.25,52500000
2021,Kolkata Knight Riders,81.80 cr,3.20 cr,276298,Andre Russell,Andre Russell,,AR,850,1164000,,1164000000,Retained,FALSE,TRUE,8.5,85000000
2021,Kolkata Knight Riders,81.80 cr,3.20 cr,29264,Harbhajan Singh,Harbhajan Singh,,BOW,200,273000,,273000000,New,FALSE,FALSE,2,20000000
2021,Kolkata Knight Riders,81.80 cr,3.20 cr,30045,Dinesh Karthik,Dinesh Karthik,,BAT/WK,740,1013000,,1013000000,Retained,FALSE,FALSE,7.4,74000000
2021,Kolkata Knight Riders,81.80 cr,3.20 cr,398439,Karun Nair,Karun Nair,,BAT,50,68000,,68000000,New,FALSE,FALSE,0.5,5000000
2021,Kolkata Knight Riders,81.80 cr,3.20 cr,446763,Rahul Tripathi,Rahul Tripathi,,BAT,60,82000,,82000000,Retained,FALSE,FALSE,0.6,6000000
2021,Kolkata Knight Riders,81.80 cr,3.20 cr,489889,Pat Cummins,Pat Cummins,,BOW,1550,2123000,,2123000000,Retained,FALSE,TRUE,15.5,155000000
2021,Kolkata Knight Riders,81.80 cr,3.20 cr,493773,Lockie Ferguson,Lockie Ferguson,,BOW,160,219000,,219000000,Retained,FALSE,TRUE,1.6,16000000
2021,Kolkata Knight Riders,81.80 cr,3.20 cr,530773,Pawan Negi,Pawan Negi,,AR,50,68000,,68000000,New,FALSE,FALSE,0.5,5000000
2021,Kolkata Knight Riders,81.80 cr,3.20 cr,559235,Kuldeep Yadav,Kuldeep Yadav,,BOW,580,794000,,794000000,Retained,FALSE,FALSE,5.8,58000000
2021,Kolkata Knight Riders,81.80 cr,3.20 cr,56143,Shakib Al Hasan,Shakib Al Hasan,,AR,320,438000,,438000000,New,FALSE,TRUE,3.2,32000000
2021,Kolkata Knight Riders,81.80 cr,3.20 cr,592735,Sandeep Warrier,Sandeep Warrier,,BOW,20,27000,,27000000,Retained,FALSE,FALSE,0.2,2000000
2021,Kolkata Knight Riders,81.80 cr,3.20 cr,604527,Nitish Rana,Nitish Rana,,AR,340,465000,,465000000,Retained,FALSE,FALSE,3.4,34000000
2021,Kolkata Knight Riders,81.80 cr,3.20 cr,625964,Tim Seifert,Tim Seifert,,BAT/WK,50,68000,,68000000,Retained,FALSE,TRUE,0.5,5000000
2021,Kolkata Knight Riders,81.80 cr,3.20 cr,723105,Rinku Singh,Rinku Singh,,BAT,80,109000,,109000000,Retained,FALSE,FALSE,0.8,8000000
2021,Kolkata Knight Riders,81.80 cr,3.20 cr,851403,Venkatesh Iyer,Venkatesh Iyer,,AR,20,27000,,27000000,New,FALSE,FALSE,0.2,2000000
2021,Kolkata Knight Riders,81.80 cr,3.20 cr,917159,Prasidh Krishna,Prasidh Krishna,,BOW,20,27000,,27000000,Retained,FALSE,FALSE,0.2,2000000
2021,Punjab Kings,66.20 cr,18.80 cr,1081437,Utkarsh Singh,Utkarsh Singh,,AR,20,27000,,27000000,New,FALSE,FALSE,0.2,2000000
2021,Punjab Kings,66.20 cr,18.80 cr,1111917,Darshan Nalkande,Darshan Nalkande,,AR,30,41000,,41000000,Retained,FALSE,FALSE,0.3,3000000
2021,Punjab Kings,66.20 cr,18.80 cr,1125976,Arshdeep Singh,Arshdeep Singh,,BOW,20,27000,,27000000,Retained,FALSE,FALSE,0.2,2000000
2021,Punjab Kings,66.20 cr,18.80 cr,1161024,Prabhsimran Singh,Prabhsimran Singh,,BAT/WK,55,75000,,75000000,Retained,FALSE,FALSE,0.55,5500000
2021,Punjab Kings,66.20 cr,18.80 cr,1168641,Harpreet Brar,Harpreet Brar,,AR,20,27000,,27000000,Retained,FALSE,FALSE,0.2,2000000
2021,Punjab Kings,66.20 cr,18.80 cr,1175441,Ravi Bishnoi,Ravi Bishnoi,,BOW,200,273000,,273000000,Retained,FALSE,FALSE,2,20000000
2021,Punjab Kings,66.20 cr,18.80 cr,236489,Dawid Malan,Dawid Malan,,BAT,150,205000,,205000000,New,FALSE,TRUE,1.5,15000000
2021,Punjab Kings,66.20 cr,18.80 cr,237199,Jalaj Saxena,Jalaj Saxena,,AR,30,41000,,41000000,New,FALSE,FALSE,0.3,3000000
2021,Punjab Kings,66.20 cr,18.80 cr,288992,Chris Jordan,Chris Jordan,,AR,300,410000,,410000000,Retained,FALSE,TRUE,3,30000000
2021,Punjab Kings,66.20 cr,18.80 cr,398438,Mayank Agarwal,Mayank Agarwal,,BAT,100,136000,,136000000,Retained,FALSE,FALSE,1,10000000
2021,Punjab Kings,66.20 cr,18.80 cr,398506,Mandeep Singh,Mandeep Singh,,BAT,140,191000,,191000000,Retained,FALSE,FALSE,1.4,14000000
2021,Punjab Kings,66.20 cr,18.80 cr,422108,KL Rahul,KL Rahul,,BAT/WK,1100,1506000,,1506000000,Retained,FALSE,FALSE,11,110000000
2021,Punjab Kings,66.20 cr,18.80 cr,481896,Mohammed Shami,Mohammed Shami,,BOW,480,657000,,657000000,Retained,FALSE,FALSE,4.8,48000000
2021,Punjab Kings,66.20 cr,18.80 cr,497121,Deepak Hooda,Deepak Hooda,,AR,50,68000,,68000000,Retained,FALSE,FALSE,0.5,5000000
2021,Punjab Kings,66.20 cr,18.80 cr,51880,Chris Gayle,Chris Gayle,,BAT,200,273000,,273000000,Retained,FALSE,TRUE,2,20000000
2021,Punjab Kings,66.20 cr,18.80 cr,528067,Murugan Ashwin,Murugan Ashwin,,BOW,20,27000,,27000000,Retained,FALSE,FALSE,0.2,2000000
2021,Punjab Kings,66.20 cr,18.80 cr,5961,Moises Henriques,Moises Henriques,,AR,420,575000,,575000000,New,FALSE,TRUE,4.2,42000000
2021,Punjab Kings,66.20 cr,18.80 cr,604302,Nicholas Pooran,Nicholas Pooran,,BAT/WK,420,575000,,575000000,Retained,FALSE,TRUE,4.2,42000000
2021,Punjab Kings,66.20 cr,18.80 cr,627214,Saurabh Kumar,Saurabh Kumar,,AR,20,27000,,27000000,New,FALSE,FALSE,0.2,2000000
2021,Punjab Kings,66.20 cr,18.80 cr,642525,Sarfaraz Khan,Sarfaraz Khan,,AR,25,34000,,34000000,Retained,FALSE,FALSE,0.25,2500000
