team,purse_spent,purse_left,players_bought,overseas_buys,player_id,player_name,player_fullname,birthdate,type,base_price,sold_price,sold_price_in_cr,status,transferred,overseas
Chennai Super Kings,1226000000,24000000,25/25,8-Aug,1060380,RD Gaikwad,Ruturaj Gaikwad,1/31/1997,BATTER,0,180000000,18,Retained,FALSE,FALSE
Chennai Super Kings,1226000000,24000000,25/25,8-Aug,425943,SV Samson,Sanju Samson,11/11/1994,BATTER,0,180000000,18,Retained,TRUE,FALSE
Chennai Super Kings,1226000000,24000000,25/25,8-Aug,1459392,Kartik Sharma,Kartik Sharma,4/26/2006,BATTER,3000000,142000000,14.2,New,FALSE,FALSE
Chennai Super Kings,1226000000,24000000,25/25,8-Aug,1403197,PR Veer,Prashant Veer,11/24/2005,ALL_ROUNDER,3000000,142000000,14.2,New,FALSE,FALSE
Chennai Super Kings,1226000000,24000000,25/25,8-Aug,714451,S Dube,Shivam Dube,6/26/1993,ALL_ROUNDER,0,120000000,12,Retained,FALSE,FALSE
Chennai Super Kings,1226000000,24000000,25/25,8-Aug,1182529,Noor Ahmad,Noor Ahmad,1/3/2005,BOWLER,0,100000000,10,Retained,FALSE,TRUE
Chennai Super Kings,1226000000,24000000,25/25,8-Aug,1064812,RD Chahar,Rahul Chahar,8/4/1999,BOWLER,10000000,52000000,5.2,New,FALSE,FALSE
Chennai Super Kings,1226000000,24000000,25/25,8-Aug,942645,KK Ahmed,Khaleel Ahmed,12/5/1997,BOWLER,0,48000000,4.8,Retained,FALSE,FALSE
Chennai Super Kings,1226000000,24000000,25/25,8-Aug,28081,MS Dhoni,MS Dhoni,7/7/1981,BATTER,0,40000000,4,Retained,FALSE,FALSE
Chennai Super Kings,1226000000,24000000,25/25,8-Aug,1175428,A Kamboj,Anshul Kamboj,12/6/2000,ALL_ROUNDER,0,34000000,3.4,Retained,FALSE,FALSE
Chennai Super Kings,1226000000,24000000,25/25,8-Aug,1269869,Gurjapneet Singh,Gurjapneet Singh,11/8/1998,BOWLER,0,22000000,2.2,Retained,FALSE,FALSE
Chennai Super Kings,1226000000,24000000,25/25,8-Aug,1070665,D Brevis,Dewald Brevis,4/29/2003,BATTER,0,22000000,2.2,Retained,FALSE,TRUE
Chennai Super Kings,1226000000,24000000,25/25,8-Aug,826915,NT Ellis,Nathan Ellis,9/22/1994,BOWLER,0,20000000,2,Retained,FALSE,TRUE
Chennai Super Kings,1226000000,24000000,25/25,8-Aug,530812,AJ Hosein,Akeal Hosein,4/25/1993,BOWLER,20000000,20000000,2,New,FALSE,TRUE
Chennai Super Kings,1226000000,24000000,25/25,8-Aug,506612,MJ Henry,Matt Henry,12/14/1991,BOWLER,20000000,20000000,2,New,FALSE,TRUE
Chennai Super Kings,1226000000,24000000,25/25,8-Aug,605575,MW Short,Matthew Short,11/8/1995,ALL_ROUNDER,15000000,15000000,1.5,New,FALSE,TRUE
Chennai Super Kings,1226000000,24000000,25/25,8-Aug,510530,J Overton,Jamie Overton,4/10/1994,ALL_ROUNDER,0,15000000,1.5,Retained,FALSE,TRUE
Chennai Super Kings,1226000000,24000000,25/25,8-Aug,1202098,ZG Foulkes,Zak Foulkes,6/5/2002,ALL_ROUNDER,7500000,7500000,0.75,New,FALSE,TRUE
Chennai Super Kings,1226000000,24000000,25/25,8-Aug,642525,SN Khan,Sarfaraz Khan,10/22/1997,BATTER,7500000,7500000,0.75,New,FALSE,FALSE
Chennai Super Kings,1226000000,24000000,25/25,8-Aug,1254269,Aman Hakim Khan,Aman Khan,11/23/1996,ALL_ROUNDER,3000000,4000000,0.4,New,FALSE,FALSE
Chennai Super Kings,1226000000,24000000,25/25,8-Aug,1452455,A Mhatre,Ayush Mhatre,7/16/2007,BATTER,0,3000000,0.3,Retained,FALSE,FALSE
Chennai Super Kings,1226000000,24000000,25/25,8-Aug,1339053,RS Ghosh,Ramakrishna Ghosh,8/28/1997,ALL_ROUNDER,0,3000000,0.3,Retained,FALSE,FALSE
Chennai Super Kings,1226000000,24000000,25/25,8-Aug,1131570,UM Patel,Urvil Patel,10/17/1998,BATTER,0,3000000,0.3,Retained,FALSE,FALSE
Chennai Super Kings,1226000000,24000000,25/25,8-Aug,1125688,Mukesh Choudhary,Mukesh Choudhary,7/6/1996,BOWLER,0,3000000,0.3,Retained,FALSE,FALSE
Chennai Super Kings,1226000000,24000000,25/25,8-Aug,344580,S Gopal,Shreyas Gopal,9/4/1993,BOWLER,0,3000000,0.3,Retained,FALSE,FALSE
Delhi Capitals,1246500000,3500000,25/25,8-Aug,554691,AR Patel,Axar Patel,1/20/1994,ALL_ROUNDER,0,165000000,16.5,Retained,FALSE,FALSE
Delhi Capitals,1246500000,3500000,25/25,8-Aug,422108,KL Rahul,KL Rahul,4/18/1992,BATTER,0,140000000,14,Retained,FALSE,FALSE
Delhi Capitals,1246500000,3500000,25/25,8-Aug,559235,Kuldeep Yadav,Kuldeep Yadav,12/14/1994,BOWLER,0,132500000,13.25,Retained,FALSE,FALSE
Delhi Capitals,1246500000,3500000,25/25,8-Aug,311592,MA Starc,Mitchell Starc,1/30/1990,BOWLER,0,117500000,11.75,Retained,FALSE,TRUE
Delhi Capitals,1246500000,3500000,25/25,8-Aug,802575,T Natarajan,T Natarajan,4/4/1991,BOWLER,0,107500000,10.75,Retained,FALSE,FALSE
Delhi Capitals,1246500000,3500000,25/25,8-Aug,595978,T Stubbs,Tristan Stubbs,8/14/2000,BATTER,0,100000000,10,Retained,FALSE,TRUE
Delhi Capitals,1246500000,3500000,25/25,8-Aug,1159732,Auqib Nabi,Auqib Nabi,11/4/1996,ALL_ROUNDER,3000000,84000000,8.4,New,FALSE,FALSE
Delhi Capitals,1246500000,3500000,25/25,8-Aug,926851,Mukesh Kumar,Mukesh Kumar,10/12/1993,BOWLER,0,80000000,8,Retained,FALSE,FALSE
Delhi Capitals,1246500000,3500000,25/25,8-Aug,604527,N Rana,Nitish Rana,12/27/1993,ALL_ROUNDER,0,42000000,4.2,Retained,TRUE,FALSE
Delhi Capitals,1246500000,3500000,25/25,8-Aug,1277545,Abishek Porel,Abishek Porel,10/17/2002,BATTER,0,40000000,4,Retained,FALSE,FALSE
Delhi Capitals,1246500000,3500000,25/25,8-Aug,1028655,P Nissanka,Pathum Nissanka,5/18/1998,BATTER,7500000,40000000,4,New,FALSE,TRUE
Delhi Capitals,1246500000,3500000,25/25,8-Aug,1131978,AR Sharma,Ashutosh Sharma,9/15/1998,ALL_ROUNDER,0,38000000,3.8,Retained,FALSE,FALSE
Delhi Capitals,1246500000,3500000,25/25,8-Aug,625960,KA Jamieson,Kyle Jamieson,12/30/1994,BOWLER,20000000,20000000,2,New,FALSE,TRUE
Delhi Capitals,1246500000,3500000,25/25,8-Aug,542023,L Ngidi,Lungi Ngidi,3/29/1996,BOWLER,20000000,20000000,2,New,FALSE,TRUE
Delhi Capitals,1246500000,3500000,25/25,8-Aug,521637,BM Duckett,Ben Duckett,10/17/1994,BATTER,20000000,20000000,2,New,FALSE,TRUE
Delhi Capitals,1246500000,3500000,25/25,8-Aug,321777,DA Miller,David Miller,6/10/1989,BATTER,20000000,20000000,2,New,FALSE,TRUE
Delhi Capitals,1246500000,3500000,25/25,8-Aug,1175489,Sameer Rizvi,Sameer Rizvi,12/6/2003,ALL_ROUNDER,0,9500000,0.95,Retained,FALSE,FALSE
Delhi Capitals,1246500000,3500000,25/25,8-Aug,1070168,PP Shaw,Prithvi Shaw,11/9/1999,BATTER,7500000,7500000,0.75,New,FALSE,FALSE
