team,purse_spent,purse_left,players_bought,overseas_buys,player_id,player_name,player_fullname,birthdate,type,base_price,sold_price,sold_price_in_cr,status,transferred,overseas
Delhi Capitals,1246500000,3500000,25/25,8-Aug,552152,PVD Chameera,Dushmantha Chameera,1/11/1992,BOWLER,0,7500000,0.75,Retained,FALSE,TRUE
Delhi Capitals,1246500000,3500000,25/25,8-Aug,1449074,V Nigam,Vipraj Nigam,7/28/2004,ALL_ROUNDER,0,5000000,0.5,Retained,FALSE,FALSE
Delhi Capitals,1246500000,3500000,25/25,8-Aug,398439,KK Nair,Karun Nair,12/6/1991,BATTER,0,5000000,0.5,Retained,FALSE,FALSE
Delhi Capitals,1246500000,3500000,25/25,8-Aug,1460385,M Tiwari,Madhav Tiwari,9/28/2003,ALL_ROUNDER,0,4000000,0.4,Retained,FALSE,FALSE
Delhi Capitals,1246500000,3500000,25/25,8-Aug,1451028,SU Parakh,Sahil Parakh,6/7/2007,BATTER,3000000,3000000,0.3,New,FALSE,FALSE
Delhi Capitals,1246500000,3500000,25/25,8-Aug,1292527,T Vijay,Tripurana Vijay,9/5/2001,ALL_ROUNDER,0,3000000,0.3,Retained,FALSE,FALSE
Delhi Capitals,1246500000,3500000,25/25,8-Aug,1059570,AJ Mandal,Ajay Mandal,2/25/1996,ALL_ROUNDER,0,3000000,0.3,Retained,FALSE,FALSE
Gujarat Titans,1230500000,19500000,25/25,8-Jul,793463,Rashid Khan,Rashid Khan,9/20/1998,BOWLER,0,180000000,18,Retained,FALSE,TRUE
Gujarat Titans,1230500000,19500000,25/25,8-Jul,1070173,Shubman Gill,Shubman Gill,9/8/1999,BATTER,0,165000000,16.5,Retained,FALSE,FALSE
Gujarat Titans,1230500000,19500000,25/25,8-Jul,308967,JC Buttler,Jos Buttler,9/8/1990,BATTER,0,157500000,15.75,Retained,FALSE,TRUE
Gujarat Titans,1230500000,19500000,25/25,8-Jul,940973,Mohammed Siraj,Mohammed Siraj,3/13/1994,BOWLER,0,122500000,12.25,Retained,FALSE,FALSE
Gujarat Titans,1230500000,19500000,25/25,8-Jul,550215,K Rabada,Kagiso Rabada,5/25/1995,BOWLER,0,107500000,10.75,Retained,FALSE,TRUE
Gujarat Titans,1230500000,19500000,25/25,8-Jul,917159,M Prasidh Krishna,Prasidh Krishna,2/19/1996,BOWLER,0,95000000,9.5,Retained,FALSE,FALSE
Gujarat Titans,1230500000,19500000,25/25,8-Jul,1151288,B Sai Sudharsan,Sai Sudharsan,10/15/2001,BATTER,0,85000000,8.5,Retained,FALSE,FALSE
Gujarat Titans,1230500000,19500000,25/25,8-Jul,391485,JO Holder,Jason Holder,11/5/1991,ALL_ROUNDER,20000000,70000000,7,New,FALSE,TRUE
Gujarat Titans,1230500000,19500000,25/25,8-Jul,719719,M Shahrukh Khan,M Shahrukh Khan,5/27/1995,ALL_ROUNDER,0,40000000,4,Retained,FALSE,FALSE
Gujarat Titans,1230500000,19500000,25/25,8-Jul,423838,R Tewatia,Rahul Tewatia,5/20/1993,ALL_ROUNDER,0,40000000,4,Retained,FALSE,FALSE
Gujarat Titans,1230500000,19500000,25/25,8-Jul,719715,Washington Sundar,Washington Sundar,10/5/1999,ALL_ROUNDER,0,32000000,3.2,Retained,FALSE,FALSE
Gujarat Titans,1230500000,19500000,25/25,8-Jul,1048739,R Sai Kishore,Sai Kishore,11/6/1996,ALL_ROUNDER,0,20000000,2,Retained,FALSE,FALSE
Gujarat Titans,1230500000,19500000,25/25,8-Jul,877051,T Banton,Tom Banton,11/11/1998,BATTER,20000000,20000000,2,New,FALSE,TRUE
Gujarat Titans,1230500000,19500000,25/25,8-Jul,823509,GD Phillips,Glenn Phillips,12/6/1996,BATTER,0,20000000,2,Retained,FALSE,TRUE
Gujarat Titans,1230500000,19500000,25/25,8-Jul,1287033,Gurnoor Brar,Gurnoor Brar,5/25/2000,BOWLER,0,13000000,1.3,Retained,FALSE,FALSE
Gujarat Titans,1230500000,19500000,25/25,8-Jul,1244751,Arshad Khan,Arshad Khan,12/20/1997,ALL_ROUNDER,0,13000000,1.3,Retained,FALSE,FALSE
Gujarat Titans,1230500000,19500000,25/25,8-Jul,1299879,Ashok Sharma,Ashok Sharma,6/17/2002,BOWLER,3000000,9000000,0.9,New,FALSE,FALSE
Gujarat Titans,1230500000,19500000,25/25,8-Jul,573170,L Wood,Luke Wood,8/2/1995,BOWLER,7500000,7500000,0.75,New,FALSE,TRUE
Gujarat Titans,1230500000,19500000,25/25,8-Jul,447587,J Yadav,Jayant Yadav,1/22/1990,ALL_ROUNDER,0,7500000,0.75,Retained,FALSE,FALSE
Gujarat Titans,1230500000,19500000,25/25,8-Jul,236779,I Sharma,Ishant Sharma,9/2/1988,BOWLER,0,7500000,0.75,Retained,FALSE,FALSE
Gujarat Titans,1230500000,19500000,25/25,8-Jul,1207295,K Kushagra,Kumar Kushagra,10/23/2004,BATTER,0,6500000,0.65,Retained,FALSE,FALSE
Gujarat Titans,1230500000,19500000,25/25,8-Jul,1292506,N Sindhu,Nishant Sindhu,4/9/2004,ALL_ROUNDER,0,3000000,0.3,Retained,FALSE,FALSE
Gujarat Titans,1230500000,19500000,25/25,8-Jul,1175426,MJ Suthar,Manav Suthar,8/3/2002,BOWLER,0,3000000,0.3,Retained,FALSE,FALSE
Gujarat Titans,1230500000,19500000,25/25,8-Jul,1123073,Anuj Rawat,Anuj Rawat,10/17/1999,BATTER,0,3000000,0.3,Retained,FALSE,FALSE
Gujarat Titans,1230500000,19500000,25/25,8-Jul,1121579,Y Prithvi Raj,Prithvi Raj,2/20/1998,BOWLER,3000000,3000000,0.3,New,FALSE,FALSE
Kolkata Knight Riders,1245500000,4500000,25/25,8-Aug,1076713,C Green,Cameron Green,6/3/1999,BATTER,20000000,252000000,25.2,New,FALSE,TRUE
Kolkata Knight Riders,1245500000,4500000,25/25,8-Aug,1194795,M Pathirana,Matheesha Pathirana,12/18/2002,BOWLER,20000000,180000000,18,New,FALSE,TRUE
Kolkata Knight Riders,1245500000,4500000,25/25,8-Aug,723105,RK Singh,Rinku Singh,10/12/1997,BATTER,0,130000000,13,Retained,FALSE,FALSE
Kolkata Knight Riders,1245500000,4500000,25/25,8-Aug,1108375,CV Varun,Varun Chakravarthy,8/29/1991,BOWLER,0,120000000,12,Retained,FALSE,FALSE
Kolkata Knight Riders,1245500000,4500000,25/25,8-Aug,230558,SP Narine,Sunil Narine,5/26/1988,BOWLER,0,120000000,12,Retained,FALSE,TRUE
Kolkata Knight Riders,1245500000,4500000,25/25,8-Aug,330902,Mustafizur Rahman,Mustafizur Rahman,9/6/1995,BOWLER,20000000,92000000,9.2,New,FALSE,TRUE
Kolkata Knight Riders,1245500000,4500000,25/25,8-Aug,1312645,Harshit Rana,Harshit Rana,12/22/2001,BOWLER,0,40000000,4,Retained,FALSE,FALSE
Kolkata Knight Riders,1245500000,4500000,25/25,8-Aug,1079470,Ramandeep Singh,Ramandeep Singh,4/13/1997,ALL_ROUNDER,0,40000000,4,Retained,FALSE,FALSE
Kolkata Knight Riders,1245500000,4500000,25/25,8-Aug,1460372,T Dahiya,Tejasvi Dahiya,4/18/2002,BATTER,3000000,30000000,3,New,FALSE,FALSE
Kolkata Knight Riders,1245500000,4500000,25/25,8-Aug,1292495,A Raghuvanshi,Angkrish Raghuvanshi,6/5/2004,BATTER,0,30000000,3,Retained,FALSE,FALSE
Kolkata Knight Riders,1245500000,4500000,25/25,8-Aug,959767,R Ravindra,Rachin Ravindra,11/18/1999,ALL_ROUNDER,20000000,20000000,2,New,FALSE,TRUE
Kolkata Knight Riders,1245500000,4500000,25/25,8-Aug,959759,FH Allen,Finn Allen,4/22/1999,BATTER,20000000,20000000,2,New,FALSE,TRUE
Kolkata Knight Riders,1245500000,4500000,25/25,8-Aug,1209292,VG Arora,Vaibhav Arora,12/14/1997,BOWLER,0,18000000,1.8,Retained,FALSE,FALSE
Kolkata Knight Riders,1245500000,4500000,25/25,8-Aug,820351,R Powell,Rovman Powell,7/23/1993,BATTER,0,15000000,1.5,Retained,FALSE,TRUE
Kolkata Knight Riders,1245500000,4500000,25/25,8-Aug,625964,TL Seifert,Tim Seifert,12/14/1994,BATTER,15000000,15000000,1.5,New,FALSE,TRUE
Kolkata Knight Riders,1245500000,4500000,25/25,8-Aug,277916,AM Rahane,Ajinkya Rahane,6/6/1988,BATTER,0,15000000,1.5,Retained,FALSE,FALSE
Kolkata Knight Riders,1245500000,4500000,25/25,8-Aug,1176959,Akash Deep,Akash Deep,12/15/1996,BOWLER,10000000,10000000,1,New,FALSE,FALSE
Kolkata Knight Riders,1245500000,4500000,25/25,8-Aug,1246528,Umran Malik,Umran Malik,11/22/1999,BOWLER,0,7500000,0.75,Retained,FALSE,FALSE
Kolkata Knight Riders,1245500000,4500000,25/25,8-Aug,446763,RA Tripathi,Rahul Tripathi,3/2/1991,BATTER,7500000,7500000,0.75,New,FALSE,FALSE
Kolkata Knight Riders,1245500000,4500000,25/25,8-Aug,290630,MK Pandey,Manish Pandey,9/10/1989,BATTER,0,7500000,0.75,Retained,FALSE,FALSE
Kolkata Knight Riders,1245500000,4500000,25/25,8-Aug,1079839,AS Roy,Anukul Roy,11/30/1998,ALL_ROUNDER,0,4000000,0.4,Retained,FALSE,FALSE
Kolkata Knight Riders,1245500000,4500000,25/25,8-Aug,1515048,Daksh Kamra,Daksh Kamra,1/9/2003,ALL_ROUNDER,3000000,3000000,0.3,New,FALSE,FALSE
Kolkata Knight Riders,1245500000,4500000,25/25,8-Aug,1252337,PH Solanki,Prashant Solanki,2/22/2000,BOWLER,3000000,3000000,0.3,New,FALSE,FALSE
Kolkata Knight Riders,1245500000,4500000,25/25,8-Aug,1122918,Kartik Tyagi,Kartik Tyagi,11/8/2000,BOWLER,3000000,3000000,0.3,New,FALSE,FALSE
Kolkata Knight Riders,1245500000,4500000,25/25,8-Aug,956405,S Ranjan,Sarthak Ranjan,9/25/1996,ALL_ROUNDER,3000000,3000000,0.3,New,FALSE,FALSE
Lucknow Super Giants,1204500000,45500000,25/25,8-Jul,931581,RR Pant,Rishabh Pant,10/4/1997,BATTER,0,270000000,27,Retained,FALSE,FALSE
Lucknow Super Giants,1204500000,45500000,25/25,8-Jul,604302,N Pooran,Nicholas Pooran,10/2/1995,BATTER,0,210000000,21,Retained,FALSE,TRUE
Lucknow Super Giants,1204500000,45500000,25/25,8-Jul,1292563,MP Yadav,Mayank Yadav,6/17/2002,BOWLER,0,110000000,11,Retained,FALSE,FALSE
Lucknow Super Giants,1204500000,45500000,25/25,8-Jul,481896,Mohammed Shami,Mohammed Shami,9/3/1990,BOWLER,0,100000000,10,Retained,TRUE,FALSE
Lucknow Super Giants,1204500000,45500000,25/25,8-Jul,694211,Avesh Khan,Avesh Khan,12/13/1996,BOWLER,0,97500000,9.75,Retained,FALSE,FALSE
Lucknow Super Giants,1204500000,45500000,25/25,8-Jul,662235,JP Inglis,Josh Inglis,3/4/1995,BATTER,20000000,86000000,8.6,New,FALSE,TRUE
Lucknow Super Giants,1204500000,45500000,25/25,8-Jul,1175485,Abdul Samad,Abdul Samad,10/28/2001,ALL_ROUNDER,0,42000000,4.2,Retained,FALSE,FALSE
Lucknow Super Giants,1204500000,45500000,25/25,8-Jul,1151270,A Badoni,Ayush Badoni,12/3/1999,ALL_ROUNDER,0,40000000,4,Retained,FALSE,FALSE
Lucknow Super Giants,1204500000,45500000,25/25,8-Jul,1132005,Mohsin Khan,Mohsin Khan,7/15/1998,BOWLER,0,40000000,4,Retained,FALSE,FALSE
Lucknow Super Giants,1204500000,45500000,25/25,8-Jul,272450,MR Marsh,Mitchell Marsh,10/20/1991,ALL_ROUNDER,0,34000000,3.4,Retained,FALSE,TRUE
Lucknow Super Giants,1204500000,45500000,25/25,8-Jul,1354217,MD Choudhary,Mukul Choudhary,8/6/2004,BATTER,3000000,26000000,2.6,New,FALSE,FALSE
Lucknow Super Giants,1204500000,45500000,25/25,8-Jul,1159711,Shahbaz Ahmed,Shahbaz Ahmed,12/11/1994,ALL_ROUNDER,0,24000000,2.4,Retained,FALSE,FALSE
Lucknow Super Giants,1204500000,45500000,25/25,8-Jul,1300795,Akshat Raghuwanshi,Akshat Raghuwanshi,9/15/2003,BATTER,3000000,22000000,2.2,New,FALSE,FALSE
Lucknow Super Giants,1204500000,45500000,25/25,8-Jul,784379,PWH de Silva,Wanindu Hasaranga,7/29/1997,ALL_ROUNDER,20000000,20000000,2,New,FALSE,TRUE
Lucknow Super Giants,1204500000,45500000,25/25,8-Jul,600498,AK Markram,Aiden Markram,10/4/1994,BATTER,0,20000000,2,Retained,FALSE,TRUE
Lucknow Super Giants,1204500000,45500000,25/25,8-Jul,481979,A Nortje,Anrich Nortje,11/16/1993,BOWLER,20000000,20000000,2,New,FALSE,TRUE
Lucknow Super Giants,1204500000,45500000,25/25,8-Jul,1408677,N Tiwari,Naman Tiwari,11/8/2005,BOWLER,3000000,10000000,1,New,FALSE,FALSE
Lucknow Super Giants,1204500000,45500000,25/25,8-Jul,1151286,M Siddharth,Manimaran Siddharth,7/3/1998,BOWLER,0,7500000,0.75,Retained,FALSE,FALSE
Lucknow Super Giants,1204500000,45500000,25/25,8-Jul,595267,MP Breetzke,Matthew Breetzke,11/3/1998,BATTER,0,7500000,0.75,Retained,FALSE,TRUE
Lucknow Super Giants,1204500000,45500000,25/25,8-Jul,1460529,DS Rathi,Digvesh Rathi,12/15/1999,BOWLER,0,3000000,0.3,Retained,FALSE,FALSE
Lucknow Super Giants,1204500000,45500000,25/25,8-Jul,1403153,AA Kulkarni,Arshin Kulkarni,2/15/2005,ALL_ROUNDER,0,3000000,0.3,Retained,FALSE,FALSE
Lucknow Super Giants,1204500000,45500000,25/25,8-Jul,1350768,Prince Yadav,Prince Yadav,12/12/2001,BOWLER,0,3000000,0.3,Retained,FALSE,FALSE
Lucknow Super Giants,1204500000,45500000,25/25,8-Jul,1175458,Akash Singh,Akash Singh,4/26/2002,BOWLER,0,3000000,0.3,Retained,FALSE,FALSE
Lucknow Super Giants,1204500000,45500000,25/25,8-Jul,1148776,AS Tendulkar,Arjun Tendulkar,9/24/1999,BOWLER,0,3000000,0.3,Retained,TRUE,FALSE
Lucknow Super Giants,1204500000,45500000,25/25,8-Jul,805235,Himmat Singh,Himmat Singh,11/8/1996,BATTER,0,3000000,0.3,Retained,FALSE,FALSE
Mumbai Indians,1244500000,5500000,25/25,8-Aug,625383,JJ Bumrah,Jasprit Bumrah,12/6/1993,BOWLER,0,180000000,18,Retained,FALSE,FALSE
Mumbai Indians,1244500000,5500000,25/25,8-Aug,625371,HH Pandya,Hardik Pandya,10/11/1993,ALL_ROUNDER,0,163500000,16.35,Retained,FALSE,FALSE
Mumbai Indians,1244500000,5500000,25/25,8-Aug,446507,SA Yadav,Suryakumar Yadav,9/14/1990,BATTER,0,163500000,16.35,Retained,FALSE,FALSE
Mumbai Indians,1244500000,5500000,25/25,8-Aug,34102,RG Sharma,Rohit Sharma,4/30/1987,BATTER,0,163000000,16.3,Retained,FALSE,FALSE
Mumbai Indians,1244500000,5500000,25/25,8-Aug,277912,TA Boult,Trent Boult,7/22/1989,BOWLER,0,125000000,12.5,Retained,FALSE,TRUE
Mumbai Indians,1244500000,5500000,25/25,8-Aug,447261,DL Chahar,Deepak Chahar,8/7/1992,BOWLER,0,92500000,9.25,Retained,FALSE,FALSE
Mumbai Indians,1244500000,5500000,25/25,8-Aug,1170265,NT Tilak Varma,Tilak Varma,11/8/2002,ALL_ROUNDER,0,80000000,8,Retained,FALSE,FALSE
Mumbai Indians,1244500000,5500000,25/25,8-Aug,1287032,Naman Dhir,Naman Dhir,12/31/1999,ALL_ROUNDER,0,52500000,5.25,Retained,FALSE,FALSE
Mumbai Indians,1244500000,5500000,25/25,8-Aug,897549,WG Jacks,Will Jacks,11/21/1998,ALL_ROUNDER,0,52500000,5.25,Retained,FALSE,TRUE
Mumbai Indians,1244500000,5500000,25/25,8-Aug,1326798,AM Ghazanfar,AM Ghazanfar,3/20/2006,BOWLER,0,48000000,4.8,Retained,FALSE,TRUE
Mumbai Indians,1244500000,5500000,25/25,8-Aug,914541,SE Rutherford,Sherfane Rutherford,8/15/1998,BATTER,0,26000000,2.6,Retained,TRUE,TRUE
Mumbai Indians,1244500000,5500000,25/25,8-Aug,502714,MJ Santner,Mitchell Santner,2/5/1992,ALL_ROUNDER,0,20000000,2,Retained,FALSE,TRUE
Mumbai Indians,1244500000,5500000,25/25,8-Aug,475281,SN Thakur,Shardul Thakur,10/16/1991,ALL_ROUNDER,0,20000000,2,Retained,TRUE,FALSE
Mumbai Indians,1244500000,5500000,25/25,8-Aug,605661,RD Rickelton,Ryan Rickelton,7/11/1996,BATTER,0,10000000,1,Retained,FALSE,TRUE
Mumbai Indians,1244500000,5500000,25/25,8-Aug,379143,Q de Kock,Quinton de Kock,12/17/1992,BATTER,10000000,10000000,1,New,FALSE,TRUE
Mumbai Indians,1244500000,5500000,25/25,8-Aug,594322,C Bosch,Corbin Bosch,9/10/1994,ALL_ROUNDER,0,7500000,0.75,Retained,FALSE,TRUE
Mumbai Indians,1244500000,5500000,25/25,8-Aug,1350762,R Minz,Robin Minz,9/13/2002,BATTER,0,6500000,0.65,Retained,FALSE,FALSE
Mumbai Indians,1244500000,5500000,25/25,8-Aug,1512648,Mohd Izhar,Mohd Izhar,1/1/2004,BOWLER,3000000,3000000,0.3,New,FALSE,FALSE
Mumbai Indians,1244500000,5500000,25/25,8-Aug,1421992,DV Malewar,Danish Malewar,10/8/2003,BATTER,3000000,3000000,0.3,New,FALSE,FALSE
Mumbai Indians,1244500000,5500000,25/25,8-Aug,1292502,RA Bawa,Raj Bawa,11/12/2002,ALL_ROUNDER,0,3000000,0.3,Retained,FALSE,FALSE
Mumbai Indians,1244500000,5500000,25/25,8-Aug,1209126,Ashwani Kumar,Ashwani Kumar,8/29/2001,BOWLER,0,3000000,0.3,Retained,FALSE,FALSE
Mumbai Indians,1244500000,5500000,25/25,8-Aug,1175467,AV Ankolekar,Atharva Ankolekar,9/26/2000,ALL_ROUNDER,3000000,3000000,0.3,New,FALSE,FALSE
Mumbai Indians,1244500000,5500000,25/25,8-Aug,1122621,RS Sharma,Raghu Sharma,3/11/1993,BOWLER,0,3000000,0.3,Retained,FALSE,FALSE
Mumbai Indians,1244500000,5500000,25/25,8-Aug,1081442,M Markande,Mayank Markande,11/11/1997,BOWLER,0,3000000,0.3,Retained,TRUE,FALSE
Mumbai Indians,1244500000,5500000,25/25,8-Aug,1079847,Mayank Rawat,Mayank Rawat,12/4/1999,ALL_ROUNDER,3000000,3000000,0.3,New,FALSE,FALSE
Punjab Kings,1215000000,35000000,25/25,8-Aug,642519,SS Iyer,Shreyas Iyer,12/6/1994,BATTER,0,267500000,26.75,Retained,FALSE,FALSE
Punjab Kings,1215000000,35000000,25/25,8-Aug,1125976,Arshdeep Singh,Arshdeep Singh,2/5/1999,BOWLER,0,180000000,18,Retained,FALSE,FALSE
Punjab Kings,1215000000,35000000,25/25,8-Aug,430246,YS Chahal,Yuzvendra Chahal,7/23/1990,BOWLER,0,180000000,18,Retained,FALSE,FALSE
Punjab Kings,1215000000,35000000,25/25,8-Aug,325012,MP Stoinis,Marcus Stoinis,8/16/1989,ALL_ROUNDER,0,110000000,11,Retained,FALSE,TRUE
Punjab Kings,1215000000,35000000,25/25,8-Aug,696401,M Jansen,Marco Jansen,5/1/2000,ALL_ROUNDER,0,70000000,7,Retained,FALSE,TRUE
Punjab Kings,1215000000,35000000,25/25,8-Aug,377534,Shashank Singh,Shashank Singh,11/21/1991,ALL_ROUNDER,0,55000000,5.5,Retained,FALSE,FALSE
Punjab Kings,1215000000,35000000,25/25,8-Aug,679567,BJ Dwarshuis,Ben Dwarshuis,6/23/1994,ALL_ROUNDER,10000000,44000000,4.4,New,FALSE,TRUE
Punjab Kings,1215000000,35000000,25/25,8-Aug,1151273,N Wadhera,Nehal Wadhera,9/4/2000,BATTER,0,42000000,4.2,Retained,FALSE,FALSE
Punjab Kings,1215000000,35000000,25/25,8-Aug,1161024,Prabhsimran Singh,Prabhsimran Singh,8/10/2000,BATTER,0,40000000,4,Retained,FALSE,FALSE
