year,team,purse_spent,purse_left,player_id,player_name,player_fullname,birthdate,type,cost_inr_lakh,cost_usd_000,status,transferred,overseas
2024,Royal Challengers Bangalore,97.15 cr,2.85 cr,1076713,Cameron Green,Cameron Green,,AR,1750,2108,New,True,True
2024,Royal Challengers Bangalore,97.15 cr,2.85 cr,253802,Virat Kohli,Virat Kohli,,BAT,1500,1807,Retained,False,False
2024,Royal Challengers Bangalore,97.15 cr,2.85 cr,670031,Alzarri Joseph,Alzarri Joseph,,BOW,1150,1385,New,False,True
2024,Royal Challengers Bangalore,97.15 cr,2.85 cr,325026,Glenn Maxwell,Glenn Maxwell,,AR,1100,1325,Retained,False,True
2024,Royal Challengers Bangalore,97.15 cr,2.85 cr,44828,Faf du Plessis,Faf du Plessis,,BAT,700,843,Retained,False,True
2024,Royal Challengers Bangalore,97.15 cr,2.85 cr,940973,Mohammed Siraj,Mohammed Siraj,,BOW,700,843,Retained,False,False
2024,Royal Challengers Bangalore,97.15 cr,2.85 cr,30045,Dinesh Karthik,Dinesh Karthik,,BAT/WK,550,662,Retained,False,False
2024,Royal Challengers Bangalore,97.15 cr,2.85 cr,1159720,Yash Dayal,Yash Dayal,,BOW,500,602,New,False,False
2024,Royal Challengers Bangalore,97.15 cr,2.85 cr,1123073,Anuj Rawat,Anuj Rawat,,BAT/WK,340,409,Retained,False,False
2024,Royal Challengers Bangalore,97.15 cr,2.85 cr,897549,Will Jacks,Will Jacks,,BAT,320,385,Retained,False,True
2024,Royal Challengers Bangalore,97.15 cr,2.85 cr,493773,Lockie Ferguson,Lockie Ferguson,,BOW,200,240,New,False,True
2024,Royal Challengers Bangalore,97.15 cr,2.85 cr,461632,Reece Topley,Reece Topley,,BOW,190,228,Retained,False,True
2024,Royal Challengers Bangalore,97.15 cr,2.85 cr,942367,Mayank Dagar,Mayank Dagar,,AR,180,216,New,True,False
2024,Royal Challengers Bangalore,97.15 cr,2.85 cr,550235,Tom Curran,Tom Curran,,AR,150,180,New,False,True
2024,Royal Challengers Bangalore,97.15 cr,2.85 cr,853265,Mahipal Lomror,Mahipal Lomror,,AR,95,114,Retained,False,False
2024,Royal Challengers Bangalore,97.15 cr,2.85 cr,1339027,Rajan Kumar,Rajan Kumar,,BOW,70,84,Retained,False,False
2024,Royal Challengers Bangalore,97.15 cr,2.85 cr,30288,Karn Sharma,Karn Sharma,,BOW,50,60,Retained,False,False
2024,Royal Challengers Bangalore,97.15 cr,2.85 cr,1083851,Suyash Prabhudessai,Suyash Prabhudessai,,AR,30,36,Retained,False,False
2024,Royal Challengers Bangalore,97.15 cr,2.85 cr,1057399,Manoj Bhandage,Manoj Bhandage,,AR,20,24,Retained,False,False
2024,Royal Challengers Bangalore,97.15 cr,2.85 cr,1176959,Akash Deep,Akash Deep,,BOW,20,24,Retained,False,False
2024,Royal Challengers Bangalore,97.15 cr,2.85 cr,1287369,Saurav Chauhan,Saurav Chauhan,,BAT,20,24,New,False,False
2024,Royal Challengers Bangalore,97.15 cr,2.85 cr,1350761,Himanshu Sharma,Himanshu Sharma,,BOW,20,24,Retained,False,False
2024,Royal Challengers Bangalore,97.15 cr,2.85 cr,232292,Swapnil Singh,Swapnil Singh,,AR,20,24,New,False,False
