year,team,purse_spent,purse_left,player_id,player_name,player_fullname,birthdate,type,cost_inr_lakh,cost_usd_000,status,transferred,overseas
2020,Royal Challengers Bangalore,78.6 cr,6.4 cr,1119026,Devdutt Padikkal,Devdutt Padikkal,,BAT,20,28,Retained,FALSE,FALSE
2020,Royal Challengers Bangalore,78.6 cr,6.4 cr,1124282,Joshua Philippe,Joshua Philippe,,BAT/WK,20,28,New,FALSE,TRUE
2020,Royal Challengers Bangalore,78.6 cr,6.4 cr,1159711,Shahbaz Ahamad,Shahbaz Ahamad,,BAT/WK,20,28,New,FALSE,FALSE
2020,Royal Challengers Bangalore,78.6 cr,6.4 cr,253802,Virat Kohli,Virat Kohli,,BAT,1700,2394,Retained,FALSE,FALSE
2020,Royal Challengers Bangalore,78.6 cr,6.4 cr,272262,Kane Richardson,Kane Richardson,,BOW,400,563,New,FALSE,TRUE
2020,Royal Challengers Bangalore,78.6 cr,6.4 cr,32242,Parthiv Patel,Parthiv Patel,,BAT/WK,170,239,Retained,FALSE,FALSE
2020,Royal Challengers Bangalore,78.6 cr,6.4 cr,328026,Isuru Udana,Isuru Udana,,AR,50,70,New,FALSE,TRUE
2020,Royal Challengers Bangalore,78.6 cr,6.4 cr,376116,Umesh Yadav,Umesh Yadav,,BOW,420,591,Retained,FALSE,FALSE
2020,Royal Challengers Bangalore,78.6 cr,6.4 cr,422104,Pavan Deshpande,Pavan Deshpande,,AR,20,28,New,FALSE,FALSE
2020,Royal Challengers Bangalore,78.6 cr,6.4 cr,430246,Yuzvendra Chahal,Yuzvendra Chahal,,BOW,600,845,Retained,FALSE,FALSE
2020,Royal Challengers Bangalore,78.6 cr,6.4 cr,439952,Chris Morris,Chris Morris,,AR,1000,1408,New,FALSE,TRUE
2020,Royal Challengers Bangalore,78.6 cr,6.4 cr,44936,AB de Villiers,AB de Villiers,,BAT,1100,1549,Retained,FALSE,TRUE
2020,Royal Challengers Bangalore,78.6 cr,6.4 cr,47492,Dale Steyn,Dale Steyn,,BOW,200,281,New,FALSE,TRUE
2020,Royal Challengers Bangalore,78.6 cr,6.4 cr,530773,Pawan Negi,Pawan Negi,,AR,100,140,Retained,FALSE,FALSE
2020,Royal Challengers Bangalore,78.6 cr,6.4 cr,5334,Aaron Finch,Aaron Finch,,BAT,440,619,New,FALSE,TRUE
2020,Royal Challengers Bangalore,78.6 cr,6.4 cr,537124,Gurkeerat Singh Mann,Gurkeerat Singh Mann,,AR,50,70,Retained,FALSE,FALSE
2020,Royal Challengers Bangalore,78.6 cr,6.4 cr,700167,Navdeep Saini,Navdeep Saini,,BOW,300,422,Retained,FALSE,FALSE
2020,Royal Challengers Bangalore,78.6 cr,6.4 cr,714451,Shivam Dube,Shivam Dube,,AR,500,704,Retained,FALSE,FALSE
2020,Royal Challengers Bangalore,78.6 cr,6.4 cr,719715,Washington Sundar,Washington Sundar,,AR,320,450,Retained,FALSE,FALSE
2020,Royal Challengers Bangalore,78.6 cr,6.4 cr,8917,Moeen Ali,Moeen Ali,,AR,170,239,Retained,FALSE,TRUE
2020,Royal Challengers Bangalore,78.6 cr,6.4 cr,940973,Mohammed Siraj,Mohammed Siraj,,BOW,260,366,Retained,FALSE,FALSE
2020,Kolkata Knight Riders,76.5 cr,8.5 cr,1070173,Shubman Gill,Shubman Gill,,BAT,180,253,Retained,FALSE,FALSE
2020,Kolkata Knight Riders,76.5 cr,8.5 cr,1070188,Kamlesh Nagarkoti,Kamlesh Nagarkoti,,AR,320,450,Retained,FALSE,FALSE
2020,Kolkata Knight Riders,76.5 cr,8.5 cr,1079848,Shivam Mavi,Shivam Mavi,,AR,300,422,Retained,FALSE,FALSE
2020,Kolkata Knight Riders,76.5 cr,8.5 cr,1108375,Varun Chakravathi,Varun Chakravathi,,AR,400,563,New,FALSE,FALSE
2020,Kolkata Knight Riders,76.5 cr,8.5 cr,1151286,M Sidharth,M Sidharth,,BOW,20,28,New,FALSE,FALSE
2020,Kolkata Knight Riders,76.5 cr,8.5 cr,230558,Sunil Narine,Sunil Narine,,BOW,1250,1760,Retained,FALSE,TRUE
2020,Kolkata Knight Riders,76.5 cr,8.5 cr,244639,Harry Gurney,Harry Gurney,,BOW,75,105,Retained,FALSE,TRUE
2020,Kolkata Knight Riders,76.5 cr,8.5 cr,24598,Eoin Morgan,Eoin Morgan,,BAT,525,739,New,FALSE,TRUE
2020,Kolkata Knight Riders,76.5 cr,8.5 cr,276298,Andre Russell,Andre Russell,,AR,850,1197,Retained,FALSE,TRUE
2020,Kolkata Knight Riders,76.5 cr,8.5 cr,30045,Dinesh Karthik,Dinesh Karthik,,BAT/WK,740,1042,Retained,FALSE,FALSE
2020,Kolkata Knight Riders,76.5 cr,8.5 cr,422342,Siddhesh Lad,Siddhesh Lad,,BAT,20,28,New,TRUE,FALSE
2020,Kolkata Knight Riders,76.5 cr,8.5 cr,446763,Rahul Tripathi,Rahul Tripathi,,BAT,60,84,New,FALSE,FALSE
2020,Kolkata Knight Riders,76.5 cr,8.5 cr,489889,Pat Cummins,Pat Cummins,,AR,1550,2183,New,FALSE,TRUE
2020,Kolkata Knight Riders,76.5 cr,8.5 cr,493773,Lockie Ferguson,Lockie Ferguson,,BOW,160,225,Retained,FALSE,TRUE
2020,Kolkata Knight Riders,76.5 cr,8.5 cr,554700,Nikhil Naik,Nikhil Naik,,BAT/WK,20,28,New,FALSE,FALSE
2020,Kolkata Knight Riders,76.5 cr,8.5 cr,559235,Kuldeep Yadav,Kuldeep Yadav,,BOW,580,816,Retained,FALSE,FALSE
2020,Kolkata Knight Riders,76.5 cr,8.5 cr,587152,Pravin Tambe,Pravin Tambe,,BOW,20,28,New,FALSE,FALSE
2020,Kolkata Knight Riders,76.5 cr,8.5 cr,592735,Sandeep Warrier,Sandeep Warrier,,BOW,20,28,Retained,FALSE,FALSE
2020,Kolkata Knight Riders,76.5 cr,8.5 cr,604527,Nitish Rana,Nitish Rana,,AR,340,478,Retained,FALSE,FALSE
2020,Kolkata Knight Riders,76.5 cr,8.5 cr,723105,Rinku Singh,Rinku Singh,,BAT,80,112,Retained,FALSE,FALSE
2020,Kolkata Knight Riders,76.5 cr,8.5 cr,787073,Chris Green,Chris Green,,AR,20,28,New,FALSE,TRUE
2020,Kolkata Knight Riders,76.5 cr,8.5 cr,877051,Tom Banton,Tom Banton,,BAT,100,140,New,FALSE,TRUE
2020,Kolkata Knight Riders,76.5 cr,8.5 cr,917159,Prasidh Krishna,Prasidh Krishna,,BOW,20,28,Retained,FALSE,FALSE
2020,Kings XI Punjab,68.5 cr,16.5 cr,1079860,Tajinder Dhillon,Tajinder Dhillon,,AR,20,28,New,FALSE,FALSE
2020,Kings XI Punjab,68.5 cr,16.5 cr,1111917,Darshan Nalkande,Darshan Nalkande,,AR,30,42,Retained,FALSE,FALSE
2020,Kings XI Punjab,68.5 cr,16.5 cr,1125976,Arshdeep Singh,Arshdeep Singh,,BOW,20,28,Retained,FALSE,FALSE
2020,Kings XI Punjab,68.5 cr,16.5 cr,1161024,Prabhsimran Singh,Prabhsimran Singh,,BAT/WK,55,77,New,FALSE,FALSE
2020,Kings XI Punjab,68.5 cr,16.5 cr,1168641,Harpreet Brar,Harpreet Brar,,AR,20,28,Retained,FALSE,FALSE
2020,Kings XI Punjab,68.5 cr,16.5 cr,1175441,Ravi Bishnoi,Ravi Bishnoi,,BOW,200,281,New,FALSE,FALSE
2020,Kings XI Punjab,68.5 cr,16.5 cr,288992,Chris Jordan,Chris Jordan,,AR,300,422,New,FALSE,TRUE
2020,Kings XI Punjab,68.5 cr,16.5 cr,325026,Glenn Maxwell,Glenn Maxwell,,AR,1075,1514,New,FALSE,TRUE
2020,Kings XI Punjab,68.5 cr,16.5 cr,355269,James Neesham,James Neesham,,AR,50,70,New,FALSE,TRUE
2020,Kings XI Punjab,68.5 cr,16.5 cr,375126,Hardus Viljoen,Hardus Viljoen,,BOW,75,105,Retained,FALSE,TRUE
2020,Kings XI Punjab,68.5 cr,16.5 cr,398438,Mayank Agarwal,Mayank Agarwal,,BAT,100,140,Retained,FALSE,FALSE
2020,Kings XI Punjab,68.5 cr,16.5 cr,398439,Karun Nair,Karun Nair,,BAT,560,788,Retained,FALSE,FALSE
2020,Kings XI Punjab,68.5 cr,16.5 cr,398506,Mandeep Singh,Mandeep Singh,,BAT,140,197,Retained,FALSE,FALSE
2020,Kings XI Punjab,68.5 cr,16.5 cr,422108,KL Rahul,KL Rahul,,BAT/WK,1100,1549,Retained,FALSE,FALSE
2020,Kings XI Punjab,68.5 cr,16.5 cr,424377,K Gowtham,K Gowtham,,AR,620,873,New,TRUE,FALSE
2020,Kings XI Punjab,68.5 cr,16.5 cr,481896,Mohammed Shami,Mohammed Shami,,BOW,480,676,Retained,FALSE,FALSE
2020,Kings XI Punjab,68.5 cr,16.5 cr,495551,Sheldon Cottrell,Sheldon Cottrell,,BOW,850,1197,New,FALSE,TRUE
2020,Kings XI Punjab,68.5 cr,16.5 cr,497121,Deepak Hooda,Deepak Hooda,,AR,50,70,New,FALSE,FALSE
2020,Kings XI Punjab,68.5 cr,16.5 cr,51880,Chris Gayle,Chris Gayle,,BAT,200,281,Retained,FALSE,TRUE
2020,Kings XI Punjab,68.5 cr,16.5 cr,527663,J Suchith,J Suchith,,BOW,20,28,Retained,FALSE,FALSE
2020,Kings XI Punjab,68.5 cr,16.5 cr,528067,Murugan Ashwin,Murugan Ashwin,,BOW,20,28,Retained,FALSE,FALSE
2020,Kings XI Punjab,68.5 cr,16.5 cr,604302,Nicholas Pooran,Nicholas Pooran,,BAT/WK,420,591,Retained,FALSE,TRUE
2020,Kings XI Punjab,68.5 cr,16.5 cr,642525,Sarfaraz Khan,Sarfaraz Khan,,BAT,25,35,Retained,FALSE,FALSE
2020,Kings XI Punjab,68.5 cr,16.5 cr,967603,Ishan Porel,Ishan Porel,,BOW,20,28,New,FALSE,FALSE
2020,Kings XI Punjab,68.5 cr,16.5 cr,974109,Mujeeb Ur Rahman,Mujeeb Ur Rahman,,BOW,400,563,Retained,FALSE,TRUE
2020,Chennai Super Kings,84.85 cr,0.15 cr,1048739,Ravisrinivasan Sai Kishore,Ravisrinivasan Sai Kishore,,BOW,20,28,New,FALSE,FALSE
2020,Chennai Super Kings,84.85 cr,0.15 cr,1048813,Narayan Jagadeesan,Narayan Jagadeesan,,BAT/WK,20,28,Retained,FALSE,FALSE
2020,Chennai Super Kings,84.85 cr,0.15 cr,1060380,Ruturaj Gaikwad,Ruturaj Gaikwad,,BAT,20,28,Retained,FALSE,FALSE
2020,Chennai Super Kings,84.85 cr,0.15 cr,1083030,KM Asif,KM Asif,,BOW,40,56,Retained,FALSE,FALSE
2020,Chennai Super Kings,84.85 cr,0.15 cr,234675,Ravindra Jadeja,Ravindra Jadeja,,AR,700,985,Retained,FALSE,FALSE
2020,Chennai Super Kings,84.85 cr,0.15 cr,237095,M Vijay,M Vijay,,BAT,200,281,Retained,FALSE,FALSE
2020,Chennai Super Kings,84.85 cr,0.15 cr,28081,MS Dhoni,MS Dhoni,,BAT/WK,1500,2112,Retained,FALSE,FALSE
2020,Chennai Super Kings,84.85 cr,0.15 cr,288284,Josh Hazlewood,Josh Hazlewood,,BOW,200,281,New,FALSE,TRUE
2020,Chennai Super Kings,84.85 cr,0.15 cr,290716,Kedar Jadhav,Kedar Jadhav,,AR,780,1098,Retained,FALSE,FALSE
2020,Chennai Super Kings,84.85 cr,0.15 cr,29264,Harbhajan Singh,Harbhajan Singh,,BOW,200,281,Retained,FALSE,FALSE
2020,Chennai Super Kings,84.85 cr,0.15 cr,30288,Karn Sharma,Karn Sharma,,BOW,500,704,Retained,FALSE,FALSE
2020,Chennai Super Kings,84.85 cr,0.15 cr,32966,Piyush Chawla,Piyush Chawla,,BOW,675,950,New,FALSE,FALSE
2020,Chennai Super Kings,84.85 cr,0.15 cr,33141,Ambati Rayudu,Ambati Rayudu,,BAT/WK,220,309,Retained,FALSE,FALSE
2020,Chennai Super Kings,84.85 cr,0.15 cr,33335,Suresh Raina,Suresh Raina,,BAT,1100,1549,Retained,FALSE,FALSE
