year,player_id,player_name,team,sold_price,sold_price_in_cr,purse_spent,purse_spent_in_cr,purse_left,purse_left_in_cr,status,transferred,overseas,base_price_in_cr,base_price,auction_result,id_source
2008,50710,Kumar Sangakkara,Punjab Kings,28084000.0,2.8084,,,,,,,,,,sold,from auction file
2008,49289,Mahela Jayawardene,Punjab Kings,19057000.0,1.9057,,,,,,,,,,sold,from auction file
2008,32966,Piyush Chawla,Punjab Kings,16048000.0,1.6048,,,,,,,,,,sold,from auction file
2008,32391,Ramesh Powar,Punjab Kings,6820400.0,0.68204,,,,,,,,,,sold,from auction file
2008,52969,Ramnaresh Sarwan,Punjab Kings,9027000.0,0.9027,,,,,,,,,,sold,from auction file
2008,6128,Simon Katich,Punjab Kings,8024000.0,0.8024,,,,,,,,,,sold,from auction file
2008,34274,Sreesanth,Punjab Kings,25075000.0,2.5075,,,,,,,,,,sold,from auction file
2008,47270,Graeme Smith,Rajasthan Royals,10030000.0,1.003,,,,,,,,,,sold,from auction file
2008,6256,Justin Langer,Rajasthan Royals,8024000.0,0.8024,,,,,,,,,,sold,from auction file
2008,41028,Kamran Akmal,Rajasthan Royals,6018000.0,0.6018,,,,,,,,,,sold,from auction file
2008,29990,Mohammad Kaif,Rajasthan Royals,27081000.0,2.7081,,,,,,,,,,sold,from auction file
2008,32965,Munaf Patel,Rajasthan Royals,11033000.0,1.1033,,,,,,,,,,sold,from auction file
2008,8166,Shane Warne,Rajasthan Royals,18054000.0,1.8054,,,,,,,,,,sold,from auction file
2008,43652,Younis Khan,Rajasthan Royals,9027000.0,0.9027,,,,,,,,,,sold,from auction file
2008,32498,Yusuf Pathan,Rajasthan Royals,19057000.0,1.9057,,,,,,,,,,sold,from auction file
2008,30176,Anil Kumble,Royal Challengers Bangalore,20060000.0,2.006,,,,,,,,,,sold,from auction file
2008,8291,Cameron White,Royal Challengers Bangalore,20060000.0,2.006,,,,,,,,,,sold,from auction file
2008,47492,Dale Steyn,Royal Challengers Bangalore,13039000.0,1.3039,,,,,,,,,,sold,from auction file
2008,45789,Jacques Kallis,Royal Challengers Bangalore,36108000.0,3.6108,,,,,,,,,,sold,from auction file
2008,44111,Mark Boucher,Royal Challengers Bangalore,18054000.0,1.8054,,,,,,,,,,sold,from auction file
2008,4185,Nathan Bracken,Royal Challengers Bangalore,13039000.0,1.3039,,,,,,,,,,sold,from auction file
2008,51469,Shivnarine Chanderpaul,Royal Challengers Bangalore,8024000.0,0.8024,,,,,,,,,,sold,from auction file
2008,29646,Wasim Jaffer,Royal Challengers Bangalore,6018000.0,0.6018,,,,,,,,,,sold,from auction file
2008,30102,Zaheer Khan,Royal Challengers Bangalore,18054000.0,1.8054,,,,,,,,,,sold,from auction file
2009,12856,Andrew Flintoff,Chennai Super Kings,74400000.0,7.44,,,,,,,,,,sold,from auction file
2009,4451,George Bailey,Chennai Super Kings,2400000.0,0.24,,,,,,,,,,sold,from auction file
2009,49677,Thilan Thushara,Chennai Super Kings,6720000.0,0.672,,,,,,,,,,sold,from auction file
2009,53118,Dwayne Smith,Deccan Chargers,4800000.0,0.48,,,,,,,,,,sold,from auction file
2009,51782,Fidel Edwards,Deccan Chargers,7200000.0,0.72,,,,,,,,,,sold,from auction file
2009,20123,Owais Shah,Delhi Capitals,13200000.0,1.32,,,,,,,,,,sold,from auction file
2009,10772,Paul Collingwood,Delhi Capitals,13200000.0,1.32,,,,,,,,,,sold,from auction file
2009,56007,Mashrafe Bin Mortaza,Kolkata Knight Riders,28800000.0,2.88,,,,,,,,,,sold,from auction file
2009,44932,JP Duminy,Mumbai Indians,45600000.0,4.56,,,,,,,,,,sold,from auction file
2009,37740,Kyle Mills,Mumbai Indians,7200000.0,0.72,,,,,,,,,,sold,from auction file
2009,55988,Mohammad Ashraful,Mumbai Indians,3600000.0,0.36,,,,,,,,,,sold,from auction file
2009,53191,Jerome Taylor,Punjab Kings,7200000.0,0.72,,,,,,,,,,sold,from auction file
2009,10582,Ravi Bopara,Punjab Kings,21600000.0,2.16,,,,,,,,,,sold,from auction file
2009,8076,Shaun Tait,Rajasthan Royals,18000000.0,1.8,,,,,,,,,,sold,from auction file
2009,45434,Tyron Henderson,Rajasthan Royals,31200000.0,3.12,,,,,,,,,,sold,from auction file
2009,38373,Jesse Ryder,Royal Challengers Bangalore,7680000.0,0.768,,,,,,,,,,sold,from auction file
2009,19296,Kevin Pietersen,Royal Challengers Bangalore,74400000.0,7.44,,,,,,,,,,sold,from auction file
2010,45797,Justin Kemp,Chennai Super Kings,4585250.0,0.458525,,,,,,,,,,sold,from auction file
