year,player_name,player_id,base_price_in_cr,base_price,base_price_in_usd,status,id_source
2012,Brendon McCullum,37737,1.95856,19585600,400000,bought,already had id
2012,Ravindra Jadeja,234675,0.48964,4896400,100000,bought,already had id
2012,Muttiah Muralitharan,49636,0.97928,9792800,200000,bought,already had id
2012,Mahela Jayawardene,49289,1.46892,14689200,300000,bought,already had id
2012,Herschelle Gibbs,45224,0.24482,2448200,50000,bought,already had id
2012,Brad Hodge,5674,0.97928,9792800,200000,bought,already had id
2012,Parthiv Patel,32242,0.97928,9792800,200000,bought,already had id
2012,Dinesh Chandimal,300628,0.24482,2448200,50000,bought,already had id
2012,Andre Russell,276298,0.24482,2448200,50000,bought,already had id
2012,Mitchell Johnson,6033,1.46892,14689200,300000,bought,already had id
2012,RP Singh,35280,0.97928,9792800,200000,bought,already had id
2012,Vinay Kumar,35731,0.48964,4896400,100000,bought,already had id
2012,Sreesanth,34274,1.95856,19585600,400000,bought,already had id
2012,Ramesh Powar,32391,0.48964,4896400,100000,bought,already had id
2012,Brad Hogg,5681,0.48964,4896400,100000,bought,already had id
2012,Sunil Narine,230558,0.24482,2448200,50000,bought,already had id
2012,Robin Peterson,46750,0.48964,4896400,100000,bought,already had id
2012,Daniel Harris,5583,0.24482,2448200,50000,bought,already had id
2012,Kevon Cooper,371814,0.24482,2448200,50000,bought,already had id
2012,James Faulkner,270484,0.48964,4896400,100000,bought,already had id
2012,Azhar Mahmood,39024,0.48964,4896400,100000,bought,already had id
2012,Thisara Perera,233514,0.24482,2448200,50000,bought,already had id
2012,Marchant de Lange,393279,0.24482,2448200,50000,bought,already had id
2012,Darren Bravo,277472,0.48964,4896400,100000,bought,already had id
2012,Doug Bracewell,362541,0.24482,2448200,50000,bought,already had id
2012,Chris Gayle,51880,,,,retained,already had id
2012,Sourav Ganguly,28779,,,,retained,already had id
2012,David Miller,321777,,,,retained,already had id
2012,Kevin Pietersen,19296,,,,transferred,already had id
2012,Andrew McDonald,6553,,,,transferred,already had id
2012,Dinesh Karthik,30045,,,,transferred,already had id
2012,Pragyan Ojha,32130,,,,transferred,already had id
2012,R Sathish,33870,,,,transferred,already had id
2012,Harmeet Singh,391128,,,,transferred,already had id
2012,James Anderson,not found,1.46892,14689200,300000,unsold,already had id
2012,Tamim Iqbal,56194,0.24482,2448200,50000,unsold,already had id
2012,Adrian Barath,274926,0.24482,2448200,50000,unsold,already had id
2012,Ramnaresh Sarwan,52969,0.48964,4896400,100000,unsold,already had id
2012,Ian Bell,9062,0.97928,9792800,200000,unsold,already had id
2012,Owais Shah,20123,0.24482,2448200,200000,unsold,already had id
2012,Upul Tharanga,50747,0.24482,2448200,50000,unsold,already had id
2012,VVS Laxman,30750,1.95856,19585600,400000,unsold,already had id
2012,Matt Prior,18675,0.97928,9792800,200000,unsold,already had id
2012,Brendan Taylor,55814,0.48964,4896400,100000,unsold,already had id
2012,Mark Boucher,44111,0.48964,4896400,100000,unsold,already had id
2012,Justin Kemp,45797,0.48964,4896400,100000,unsold,already had id
2012,Marlon Samuels,52983,0.48964,4896400,100000,unsold,already had id
2012,Steven Smith,267192,0.97928,9792800,200000,unsold,already had id
2012,Ravi Bopara,10582,0.48964,4896400,100000,unsold,already had id
2012,Luke Wright,23460,0.97928,9792800,200000,unsold,already had id
2012,Kevin O'Brien,24605,0.24482,2448200,50000,unsold,already had id
2012,Dwayne Smith,53118,0.48964,4896400,100000,unsold,already had id
2012,Lonwabo Tsotsobe,47666,0.24482,2448200,50000,unsold,already had id
2012,VRV Singh,35281,0.48964,4896400,100000,unsold,already had id
