player_name,country,playing_role,date_of_birth,age,batting_style,bowling_style,career_span,input_url,warning,warning_code,error,matches,wickets,batting_average,strike_rate,Balls,BBI,Ave,Econ,SR,Inns,NO,runs,HS,50s,5
Albie Morkel,South Africa,Bowling Allrounder,"June 10, 1981, Vereeniging, Transvaal",45y 4d,Left hand Bat,Right arm Medium fast,INTL CAREER: 2004 - 2015,https://www.espncricinfo.com/records/trophy/averages-batting/indian-premier-league-117?team=4343,,,,91,85.0,24.35,141.98,1723.0,4/32,27.7,8.2,20.2,68.0,28.0,974.0,73.0,3.0,1.0
Urvil Patel,India,Wicketkeeper Batter,"October 17, 1998, Mehsana",27y 240d,Right hand Bat,,,https://www.espncricinfo.com/records/trophy/averages-batting/indian-premier-league-117?team=4343,,,,10,,19.70,205.20,,-,,,,10.0,,197.0,65.0,1.0,
Ambati Rayudu,India,Middle order Batter,"September 23, 1985, Guntur, Andhra Pradesh",40y 264d,Right hand Bat,Right arm Offbreak,INTL CAREER: 2013 - 2019,https://www.espncricinfo.com/records/trophy/averages-batting/indian-premier-league-117?team=4343,,,,204,,28.23,127.54,,-,,,,187.0,33.0,4348.0,100.0,22.0,
Joginder Sharma,India,Allrounder,"October 23, 1983, Rohtak",42y 234d,Right hand Bat,Right arm Fast medium,INTL CAREER: 2004 - 2007,https://www.espncricinfo.com/records/trophy/averages-batting/indian-premier-league-117?team=4343,,,,16,12.0,9.00,120.00,256.0,2/27,34.91,9.82,21.3,6.0,2.0,36.0,16.0,,
Rajvardhan Hangargekar,India,Bowling Allrounder,"November 10, 2002, Tuljapur, Maharashtra",23y 216d,Right hand Bat,Right arm Fast medium,,https://www.espncricinfo.com/records/trophy/averages-batting/indian-premier-league-117?team=4343,,,,2,3.0,-,-,36.0,3/36,20.0,10.0,12.0,,,,,,
Noor Ahmad,Afghanistan,Bowler,"January 03, 2005, Khost",21y 162d,Right hand Bat,Left arm Wrist spin,INTL CAREER: 2022 - 2026,https://www.espncricinfo.com/records/trophy/averages-batting/indian-premier-league-117?team=4343,,,,51,61.0,2.81,53.44,1098.0,4/18,24.5,8.16,18.0,17.0,6.0,31.0,8.0,,2.0
Nuwan Kulasekara,Sri Lanka,Bowler,"July 22, 1982, Nittambuwa",43y 327d,Right hand Bat,Right arm Fast medium,INTL CAREER: 2003 - 2017,https://www.espncricinfo.com/records/trophy/averages-batting/indian-premier-league-117?team=4343,,,,6,5.0,-,166.66,102.0,2/10,24.0,7.05,20.4,1.0,1.0,5.0,5.0,,
Daryl Mitchell,New Zealand,Batting Allrounder,"May 20, 1991, Hamilton",35y 25d,Right hand Bat,Right arm Medium,INTL CAREER: 2019 - 2026,https://www.espncricinfo.com/records/trophy/averages-batting/indian-premier-league-117?team=4343,,,,15,1.0,27.00,131.46,48.0,1/18,97.0,12.12,48.0,15.0,2.0,351.0,63.0,2.0,
Kartik Sharma,India,Wicketkeeper Batter,"April 26, 2006",20y 49d,Right hand Bat,,,https://www.espncricinfo.com/records/trophy/averages-batting/indian-premier-league-117?team=4343,,,,11,,32.77,136.57,,-,,,,11.0,2.0,295.0,71.0,2.0,
Matthew Hayden,Australia,Opening Batter,"October 29, 1971, Kingaroy, Queensland",54y 228d,Left hand Bat,Right arm Medium,INTL CAREER: 1993 - 2009,https://www.espncricinfo.com/records/trophy/averages-batting/indian-premier-league-117?team=4343,,,,32,,36.90,137.51,,-,,,,32.0,2.0,1107.0,93.0,8.0,
Spencer Johnson,Australia,Bowler,"December 16, 1995, Adelaide, South Australia",30y 180d,Left hand Bat,Left arm Fast,INTL CAREER: 2023 - 2025,https://www.espncricinfo.com/records/trophy/averages-batting/indian-premier-league-117?team=4343,,,,12,7.0,8.00,66.66,230.0,2/25,56.57,10.33,32.8,6.0,5.0,8.0,5.0,,
Sam Billings,England,Wicketkeeper Batter,"June 15, 1991, Pembury, Kent",34y 364d,Right hand Bat,,INTL CAREER: 2015 - 2022,https://www.espncricinfo.com/records/trophy/averages-batting/indian-premier-league-117?team=4343,,,,30,,19.34,129.63,,-,,,,27.0,1.0,503.0,56.0,3.0,
Mukesh Choudhary,India,Bowler,"July 06, 1996, Pardodas, Bhilwara, Rajasthan",29y 343d,Left hand Bat,Left arm Medium,,https://www.espncricinfo.com/records/trophy/averages-batting/indian-premier-league-117?team=4343,,,,24,25.0,8.00,100.00,483.0,4/46,30.84,9.57,19.3,3.0,2.0,8.0,4.0,,1.0
Wriddhiman Saha,India,Wicketkeeper Batter,"October 24, 1984, Shaktigarh, Siliguri, Bengal, India",41y 233d,Right hand Bat,,INTL CAREER: 2010 - 2021,https://www.espncricinfo.com/records/trophy/averages-batting/indian-premier-league-117?team=4343,,,,170,,24.24,127.56,,-,,,,145.0,24.0,2934.0,115.0,13.0,
David Willey,England,Bowling Allrounder,"February 28, 1990, Northampton",36y 106d,Left hand Bat,Left arm Fast medium,INTL CAREER: 2015 - 2023,https://www.espncricinfo.com/records/trophy/averages-batting/indian-premier-league-117?team=4343,,,,11,6.0,26.50,85.48,216.0,2/16,45.33,7.55,36.0,5.0,3.0,53.0,20.0,,
Ishwar Pandey,India,Bowler,"August 15, 1989, Rewa, Madhya Pradesh",36y 303d,Right hand Bat,Right arm Medium,,https://www.espncricinfo.com/records/trophy/averages-batting/indian-premier-league-117?team=4343,,,,25,18.0,0.00,0.00,462.0,2/23,32.83,7.67,25.6,1.0,,,,,
Dwaine Pretorius,South Africa,Bowling Allrounder,"March 29, 1989, Randfontein",37y 77d,Right hand Bat,Right arm Medium fast,INTL CAREER: 2016 - 2022,https://www.espncricinfo.com/records/trophy/averages-batting/indian-premier-league-117?team=4343,,,,7,6.0,11.00,157.14,150.0,2/30,39.66,9.52,25.0,5.0,1.0,44.0,22.0,,
Manpreet Gony,India,Bowler,"January 04, 1984, Roopnagar, Punjab",42y 161d,Right hand Bat,Right arm Medium,INTL CAREER: 2008 - 2008,https://www.espncricinfo.com/records/trophy/averages-batting/indian-premier-league-117?team=4343,,,,44,37.0,9.90,139.43,888.0,3/31,34.78,8.69,24.0,17.0,7.0,99.0,42.0,,
