player_name,country,playing_role,date_of_birth,age,batting_style,bowling_style,career_span,input_url,warning,warning_code,error,matches,wickets,batting_average,strike_rate,Balls,BBI,Ave,Econ,SR,Inns,NO,runs,HS,50s,5
Deepak Hooda,India,Allrounder,"April 19, 1995, Rohtak",31y 56d,Right hand Bat,Right arm Offbreak,INTL CAREER: 2022 - 2023,https://www.espncricinfo.com/records/trophy/averages-batting/indian-premier-league-117?team=4343,,,,125,10.0,17.60,127.64,379.0,2/16,54.6,8.64,37.9,101.0,16.0,1496.0,64.0,8.0,
Ankit Rajpoot,India,Bowler,"December 04, 1993, Kanpur",32y 192d,Right hand Bat,Right arm Medium,,https://www.espncricinfo.com/records/trophy/averages-batting/indian-premier-league-117?team=4343,,,,29,24.0,5.20,63.41,529.0,5/14,33.91,9.23,22.0,7.0,2.0,26.0,8.0,,
Brendon McCullum,New Zealand,Wicketkeeper Batter,"September 27, 1981, Dunedin, Otago",44y 260d,Right hand Bat,"Right arm Medium, Right arm Offbreak",INTL CAREER: 2002 - 2016,https://www.espncricinfo.com/records/trophy/averages-batting/indian-premier-league-117?team=4343,,,,109,,27.69,131.74,,-,,,,109.0,5.0,2880.0,158.0,13.0,
Suresh Raina,India,Middle order Batter,"November 27, 1986, Muradnagar, Ghaziabad, Uttar Pradesh",39y 199d,Left hand Bat,Right arm Offbreak,INTL CAREER: 2005 - 2018,https://www.espncricinfo.com/records/trophy/averages-batting/indian-premier-league-117?team=4343,,,,205,25.0,32.51,136.73,908.0,2/0,44.72,7.38,36.3,200.0,30.0,5528.0,100.0,39.0,
Michael Hussey,Australia,Middle order Batter,"May 27, 1975, Mt Lawley, Perth, Western Australia",51y 18d,Left hand Bat,Right arm Medium,INTL CAREER: 2004 - 2013,https://www.espncricinfo.com/records/trophy/averages-batting/indian-premier-league-117?team=4343,,,,59,,38.76,122.64,,-,,,,58.0,7.0,1977.0,116.0,15.0,
Imran Tahir,South Africa,Bowler,"March 27, 1979, Lahore, Punjab",47y 79d,Right hand Bat,Legbreak Googly,INTL CAREER: 2011 - 2019,https://www.espncricinfo.com/records/trophy/averages-batting/indian-premier-league-117?team=4343,,,,59,82.0,8.25,89.18,1316.0,4/12,20.76,7.76,16.0,9.0,5.0,33.0,13.0,,3.0
Narayan Jagadeesan,India,Wicketkeeper Batter,"December 24, 1995, Coimbatore, Tamil Nadu",30y 172d,Right hand Bat,,,https://www.espncricinfo.com/records/trophy/averages-batting/indian-premier-league-117?team=4343,,,,13,,18.00,110.20,,-,,,,10.0,1.0,162.0,39.0,,
Akash Singh,India,Bowler,"April 26, 2002, Bharatpur, Rajasthan",24y 49d,Right hand Bat,Left arm Medium fast,,https://www.espncricinfo.com/records/trophy/averages-batting/indian-premier-league-117?team=4343,,,,12,13.0,-,-,247.0,3/26,31.23,9.86,19.0,,,,,,
Shane Watson,Australia,Allrounder,"June 17, 1981, Ipswich, Queensland",44y 362d,Right hand Bat,Right arm Fast medium,INTL CAREER: 2002 - 2016,https://www.espncricinfo.com/records/trophy/averages-batting/indian-premier-league-117?team=4343,,,,145,92.0,30.99,137.91,2029.0,4/29,29.15,7.93,22.0,141.0,16.0,3874.0,117.0,21.0,1.0
George Bailey,Australia,Top order Batter,"September 07, 1982, Launceston, Tasmania",43y 280d,Right hand Bat,Right arm Medium,INTL CAREER: 2012 - 2017,https://www.espncricinfo.com/records/trophy/averages-batting/indian-premier-league-117?team=4343,,,,40,,24.55,121.87,,-,,,,37.0,10.0,663.0,61.0,2.0,
Karn Sharma,India,Bowler,"October 23, 1987, Meerut, Uttar Pradesh",38y 234d,Left hand Bat,Legbreak Googly,INTL CAREER: 2014 - 2014,https://www.espncricinfo.com/records/trophy/averages-batting/indian-premier-league-117?team=4343,,,,90,83.0,13.53,119.32,1585.0,4/16,26.68,8.38,19.0,41.0,15.0,352.0,39.0,,2.0
Thilan Thushara,Sri Lanka,Bowler,"March 01, 1981, Balapitiya",45y 105d,Left hand Bat,Left arm Fast medium,INTL CAREER: 2003 - 2010,https://www.espncricinfo.com/records/trophy/averages-batting/indian-premier-league-117?team=4343,,,,6,8.0,6.00,66.66,135.0,2/16,20.12,7.15,16.8,4.0,2.0,12.0,8.0,,
Gurjapneet Singh,India,Bowler,"November 08, 1998",27y 218d,Right hand Bat,Left arm Medium fast,,https://www.espncricinfo.com/records/trophy/averages-batting/indian-premier-league-117?team=4343,,,,8,4.0,-,-,151.0,1/7,58.25,9.25,37.7,,,,,,
Anshul Kamboj,India,Bowling Allrounder,"December 06, 2000, Karnal, Haryana",25y 190d,Right hand Bat,Right arm Medium,INTL CAREER: 2025 - 2025,https://www.espncricinfo.com/records/trophy/averages-batting/indian-premier-league-117?team=4343,,,,25,31.0,18.50,142.30,491.0,3/13,26.32,9.97,15.8,10.0,6.0,74.0,19.0,,
Ashish Nehra,India,Bowler,"April 29, 1979, Delhi",47y 46d,Right hand Bat,Left arm Medium fast,INTL CAREER: 1999 - 2017,https://www.espncricinfo.com/records/trophy/averages-batting/indian-premier-league-117?team=4343,,,,88,106.0,5.85,66.12,1908.0,4/10,23.53,7.84,18.0,22.0,15.0,41.0,22.0,,1.0
Palani  Amarnath,India,,"June 01, 1982",44y 13d,Right hand Bat,Right arm Medium,,https://www.espncricinfo.com/records/trophy/averages-batting/indian-premier-league-117?team=4343,,,,6,7.0,-,-,132.0,2/29,33.71,10.72,18.8,,,,,,
John Hastings,Australia,Allrounder,"November 04, 1985, Penrith, New South Wales",40y 222d,Right hand Bat,Right arm Fast medium,INTL CAREER: 2010 - 2017,https://www.espncricinfo.com/records/trophy/averages-batting/indian-premier-league-117?team=4343,,,,3,3.0,-,-,58.0,2/6,22.0,6.82,19.3,,,,,,
Justin Kemp,South Africa,Bowling Allrounder,"October 02, 1977, Queenstown, Cape Province",48y 255d,Right hand Bat,Right arm Fast medium,INTL CAREER: 2001 - 2007,https://www.espncricinfo.com/records/trophy/averages-batting/indian-premier-league-117?team=4343,,,,5,3.0,13.00,108.33,44.0,3/12,18.0,7.36,14.6,2.0,,26.0,22.0,,
Prashant Solanki,India,Bowler,"February 22, 2000",26y 112d,Right hand Bat,Legbreak,,https://www.espncricinfo.com/records/trophy/averages-batting/indian-premier-league-117?team=4343,,,,2,2.0,-,-,36.0,2/20,19.0,6.33,18.0,,,,,,
Muthiah Muralidaran,Sri Lanka,Bowler,"April 17, 1972, Kandy",54y 58d,Right hand Bat,Right arm Offbreak,INTL CAREER: 1992 - 2011,https://www.espncricinfo.com/records/trophy/averages-batting/indian-premier-league-117?team=4343,,,,66,63.0,3.33,66.66,1524.0,3/11,26.92,6.67,24.1,9.0,3.0,20.0,6.0,,
Dhruv Shorey,India,Top order Batter,"June 05, 1992, Delhi",34y 9d,Right hand Bat,Right arm Offbreak,,https://www.espncricinfo.com/records/trophy/averages-batting/indian-premier-league-117?team=4343,,,,2,,6.50,76.47,,-,,,,2.0,,13.0,8.0,,
Sam Curran,England,Allrounder,"June 03, 1998, Northampton",28y 11d,Left hand Bat,Left arm Medium fast,INTL CAREER: 2018 - 2026,https://www.espncricinfo.com/records/trophy/averages-batting/indian-premier-league-117?team=4343,,,,64,59.0,24.92,136.38,1253.0,4/11,34.45,9.73,21.2,53.0,13.0,997.0,88.0,6.0,1.0
Ronit More,India,Bowler,"February 02, 1992, Belgaum, Karnataka",34y 132d,Right hand Bat,Right arm Medium,,https://www.espncricinfo.com/records/trophy/averages-batting/indian-premier-league-117?team=4343,,,,2,1.0,-,100.00,35.0,1/31,59.0,10.11,35.0,1.0,1.0,2.0,2.0,,
KM Asif,India,Bowler,"July 24, 1993, Edavanna,Malappuram",32y 325d,Right hand Bat,Right arm Medium,,https://www.espncricinfo.com/records/trophy/averages-batting/indian-premier-league-117?team=4343,,,,7,7.0,0.00,0.00,133.0,2/42,33.0,10.42,19.0,1.0,,,,,
Sisanda Magala,South Africa,Bowler,"January 07, 1991, Port Elizabeth, Cape Province",35y 158d,Right hand Bat,Right arm Fast medium,INTL CAREER: 2021 - 2023,https://www.espncricinfo.com/records/trophy/averages-batting/indian-premier-league-117?team=4343,,,,2,1.0,-,-,36.0,1/37,51.0,8.5,36.0,,,,,,
Rahul Tripathi,India,Top order Batter,"March 02, 1991, Ranchi",35y 104d,Right hand Bat,Right arm Medium,INTL CAREER: 2023 - 2023,https://www.espncricinfo.com/records/trophy/averages-batting/indian-premier-league-117?team=4343,,,,100,,26.33,137.84,6.0,-,,12.0,,98.0,11.0,2291.0,93.0,12.0,
Ajinkya Rahane,India,Top order Batter,"June 06, 1988, Ashwi-KD, Maharashtra",38y 8d,Right hand Bat,Right arm Medium,INTL CAREER: 2011 - 2023,https://www.espncricinfo.com/records/trophy/averages-batting/indian-premier-league-117?team=4343,,,,212,1.0,30.15,125.60,6.0,1/5,5.0,5.0,6.0,197.0,19.0,5367.0,105.0,35.0,
Ruturaj Gaikwad,India,Batter,"January 31, 1997, Pune, Maharashtra",29y 134d,Right hand Bat,Right arm Offbreak,INTL CAREER: 2021 - 2025,https://www.espncricinfo.com/records/trophy/averages-batting/indian-premier-league-117?team=4343,,,,85,,38.36,135.64,,-,,,,84.0,10.0,2839.0,108.0,22.0,
Tushar Deshpande,India,Bowler,"May 15, 1995, Mumbai",31y 30d,Left hand Bat,Right arm Medium fast,INTL CAREER: 2024 - 2024,https://www.espncricinfo.com/records/trophy/averages-batting/indian-premier-league-117?team=4343,,,,53,55.0,13.50,150.00,1103.0,4/27,33.78,10.1,20.0,10.0,6.0,54.0,25.0,,1.0
Nathan Ellis,Australia,Bowler,"September 22, 1994, Greenacre, New South Wales",31y 265d,Right hand Bat,Right arm Fast medium,INTL CAREER: 2021 - 2026,https://www.espncricinfo.com/records/trophy/averages-batting/indian-premier-league-117?team=4343,,,,17,19.0,4.75,76.00,378.0,4/30,28.73,8.66,19.8,5.0,1.0,19.0,12.0,,1.0
Dewald Brevis,South Africa,Middle order Batter,"April 29, 2003, Johannesburg",23y 46d,Right hand Bat,Legbreak,INTL CAREER: 2023 - 2026,https://www.espncricinfo.com/records/trophy/averages-batting/indian-premier-league-117?team=4343,,,,27,1.0,25.25,146.02,3.0,1/8,8.0,16.0,3.0,24.0,,606.0,57.0,2.0,
Vidyut Sivaramakrishnan,India,Batting Allrounder,"December 03, 1981, Madras (now Chennai), Tamil Nadu",44y 193d,Left hand Bat,Slow Left arm Orthodox,,https://www.espncricinfo.com/records/trophy/averages-batting/indian-premier-league-117?team=4343,,,,9,1.0,18.12,133.02,12.0,1/22,22.0,11.0,12.0,8.0,,145.0,54.0,1.0,
Josh Hazlewood,Australia,Bowler,"January 08, 1991, Tamworth, New South Wales",35y 157d,Left hand Bat,Right arm Fast medium,INTL CAREER: 2010 - 2025,https://www.espncricinfo.com/records/trophy/averages-batting/indian-premier-league-117?team=4343,,,,52,72.0,19.00,63.33,1176.0,4/12,23.47,8.62,16.3,8.0,7.0,19.0,7.0,,3.0
Monu Kumar,India,Bowling Allrounder,"November 05, 1994, Ranchi, Bihar",31y 221d,Right hand Bat,Right arm Medium,,https://www.espncricinfo.com/records/trophy/averages-batting/indian-premier-league-117?team=4343,,,,1,,-,-,12.0,-,,10.0,,,,,,,
Mustafizur Rahman,Bangladesh,Bowler,"September 06, 1995, Satkhira",30y 281d,Left hand Bat,Left arm Fast medium,INTL CAREER: 2015 - 2026,https://www.espncricinfo.com/records/trophy/averages-batting/indian-premier-league-117?team=4343,,,,60,65.0,6.50,54.16,1364.0,4/29,28.44,8.13,20.9,10.0,8.0,13.0,8.0,,1.0
Jason Holder,West Indies,Bowling Allrounder,"November 05, 1991, Barbados",34y 221d,Right hand Bat,Right arm Medium fast,INTL CAREER: 2013 - 2026,https://www.espncricinfo.com/records/trophy/averages-batting/indian-premier-league-117?team=4343,,,,57,70.0,12.46,123.19,1225.0,4/24,25.01,8.57,17.5,34.0,8.0,324.0,47.0,,2.0
Mohit Sharma,India,Bowler,"September 18, 1988, Ballabhgarh, Haryana",37y 269d,Right hand Bat,Right arm Medium,INTL CAREER: 2013 - 2015,https://www.espncricinfo.com/records/trophy/averages-batting/indian-premier-league-117?team=4343,,,,120,134.0,6.94,91.91,2403.0,5/10,26.21,8.77,17.9,33.0,15.0,125.0,21.0,,3.0
David Hussey,Australia,Allrounder,"July 15, 1977, Mt Lawley, Perth, Western Australia",48y 334d,Right hand Bat,Right arm Offbreak,INTL CAREER: 2008 - 2013,https://www.espncricinfo.com/records/trophy/averages-batting/indian-premier-league-117?team=4343,,,,64,8.0,26.97,122.97,317.0,2/2,59.25,8.97,39.6,61.0,12.0,1322.0,71.0,5.0,
Murali Vijay,India,Opening Batter,"April 01, 1984, Chennai",42y 74d,Right hand Bat,Right arm Offbreak,INTL CAREER: 2008 - 2018,https://www.espncricinfo.com/records/trophy/averages-batting/indian-premier-league-117?team=4343,,,,106,,25.93,121.87,36.0,-,,8.16,,106.0,5.0,2619.0,127.0,13.0,
Ravindra Jadeja,India,Allrounder,"December 06, 1988, Navagam-Khed, Saurashtra",37y 190d,Left hand Bat,Slow Left arm Orthodox,INTL CAREER: 2009 - 2026,https://www.espncricinfo.com/records/trophy/averages-batting/indian-premier-league-117?team=4343,,,,268,180.0,29.14,130.64,4254.0,5/16,30.36,7.7,23.6,209.0,88.0,3526.0,77.0,5.0,3.0
Devon Conway,New Zealand,Wicketkeeper Batter,"July 08, 1991, Johannesburg, Transvaal",34y 341d,Left hand Bat,Right arm Medium,INTL CAREER: 2020 - 2026,https://www.espncricinfo.com/records/trophy/averages-batting/indian-premier-league-117?team=4343,,,,29,,43.20,139.71,,-,,,,28.0,3.0,1080.0,92.0,11.0,
Parthiv Patel,India,Wicketkeeper Batter,"March 09, 1985, Ahmedabad, Gujarat",41y 97d,Left hand Bat,Right arm Offbreak,INTL CAREER: 2002 - 2018,https://www.espncricinfo.com/records/trophy/averages-batting/indian-premier-league-117?team=4343,,,,139,,22.60,120.78,,-,,,,137.0,11.0,2848.0,81.0,13.0,
Sanju Samson,India,Wicketkeeper Batter,"November 11, 1994, Pulluvila, Vizhinjam, Trivandrum",31y 215d,Right hand Bat,,INTL CAREER: 2014 - 2026,https://www.espncricinfo.com/records/trophy/averages-batting/indian-premier-league-117?team=4343,,,,191,,31.78,141.13,,-,,,,186.0,23.0,5181.0,119.0,27.0,
Chris Morris,South Africa,Bowling Allrounder,"April 30, 1987, Pretoria, Transvaal",39y 45d,Right hand Bat,Right arm Fast medium,INTL CAREER: 2012 - 2019,https://www.espncricinfo.com/records/trophy/averages-batting/indian-premier-league-117?team=4343,,,,81,95.0,22.07,155.27,1720.0,4/23,24.15,8.0,18.1,51.0,23.0,618.0,82.0,2.0,4.0
Shaik Rasheed,India,Batter,"September 24, 2004, Guntur, Andhra Pradesh",21y 263d,Right hand Bat,Legbreak,,https://www.espncricinfo.com/records/trophy/averages-batting/indian-premier-league-117?team=4343,,,,5,,14.20,112.69,,-,,,,5.0,,71.0,27.0,,
Shadab Jakati,India,Bowler,"November 27, 1980, Vasco da Gama, Goa",45y 199d,Left hand Bat,Slow Left arm Orthodox,,https://www.espncricinfo.com/records/trophy/averages-batting/indian-premier-league-117?team=4343,,,,59,47.0,28.00,96.55,1085.0,4/22,30.87,8.02,23.0,8.0,7.0,28.0,13.0,,2.0
Kedar Jadhav,India,Batting Allrounder,"March 26, 1985, Pune, Maharashtra",41y 80d,Right hand Bat,Right arm Offbreak,INTL CAREER: 2014 - 2020,https://www.espncricinfo.com/records/trophy/averages-batting/indian-premier-league-117?team=4343,,,,95,,22.37,123.13,,-,,,,81.0,27.0,1208.0,69.0,4.0,
Dwayne Smith,West Indies,Allrounder,"April 12, 1983, Storey Gap, Codrington Hill, St Michael, Barbados",43y 63d,Right hand Bat,Right arm Medium,INTL CAREER: 2004 - 2015,https://www.espncricinfo.com/records/trophy/averages-batting/indian-premier-league-117?team=4343,,,,91,26.0,28.39,135.20,539.0,4/8,31.15,9.01,20.7,89.0,5.0,2385.0,87.0,17.0,1.0
